Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Timer Control,Refrigerant,Custom Bundle,Number of Heat Settings,Year Manufactured,Smart Home Compatibility,Heating Element Format,Air Direction,BTU Heating Rating,Heating Element Material,Tank Capacity,Control Style,Energy Star,Energy Efficiency Ratio (EER),Annual Fuel Utilization Efficiency (AFUE),Area Covered,Cable Length,Width,EC Range,Current Rating,Item Depth,Type,Tonnage,Heating System,Mounting Location,Operating Sound Rating,Power,EAN,Location,Heating Technology,Room,Modification Description,Battery Included,Bundle Description,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Room Coverage Area,Height,Heating Wattage,Colour,Energy Rating,Time Control,Contents of the package,Material Type,Switch Car heater,Air Outlet Car heater,Item Type,Size:,Core Material:,Heating element:,Manufacturer Part Number,ISBN,Size,Heating Method,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,ProductGroup,PartNumber,Label,Studio,Manufacturer,Binding,Warranty,Publisher,ProductTypeName,Model Number,Item Height,Package,Piece Count,Item Weight,Room Size,Indoor/Outdoor,Product Depth (in),Wattage (watts),Heater Type,Product Width (in),Area Heated (Sq Ft),Heater Controls,Color Family,Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Portable Heater Features,Country of Origin,Prop65_fl,Prop65Warning,SKU,Application/Usage,Area Coverage,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Product Type,Timer,Weight (Approximate),Heat rating (BTU/hour),Pack Size,Heat Output,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Department,Style,Ventilation Type,Chamber Depth,Finish Type,Model No.,Assembled Product Dimensions (L x W x H),MaterialType,Voice Control Hub Required,Remote Access,Smart Home,Requires Hub?,Works With,Power Options,Item Weight ‏,Hight,New Title,Fuel Type,Heating Element,Minimum Heat Power,Item model number,Warranty Description,Batteries Required,Batteries,Is Assembly Required?,Is Discontinued By Manufacturer,Product Dimensions,item_width,item_length,Mount Type,package_length,Package Dimensions,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Heating Technology Type,Vented,Number of Cool Speeds,Product,Size Type,Automatic shutoff,Installation,Timer Included,Anti-freeze setting,ACLI Safety Plug,Remote Control,Accessories Included,Oscillation,Tax,VAT Rate,For,COUNTRY  OF ORIGIN,Amazon Title,Generic Keywords,Category 1,Category 2,Weight (lbs),Length (in),Width (in),Height (in),Feature Bullet 1,Feature Bullet 2,Safety Tip-Over Switch,Indoor Safe,Ignition,Heat Settings,BTU Per Hour,Recommended Location,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Country Of Origin,TAX,Handling Time:,Questions,Product Style 3,Product Style 4,Product Group,Product Style 1,Product Style 2,Assembly,Dimensions,Air Flow,Product Features,Overall Width,Special Features,Wattage,Heating Element Type,Cord Length,Overall Height,Plug Type,Power Type,Assembled Product Weight,NumberOfItems,Bundle Listing,Item Location,Category,IsAdultProduct,Shipping Weight,Mount Location,Product Weight (lb.),Product Weight lb,Product Depth in,Package Condition,Area Heated Sq Ft,Area Heated (Sq. Ft.),Heat Output BTU/hour,Functionality Check II,Product Lot Quantity,Returnable,Brand:,Control Style:,Power:,Energy Efficiency Ratio (EER):,Material:,Number of Heat Settings:,Cable Length:,Power Source:,Mounting Location:,Tank Capacity:,Operating Sound Rating:,Heating Element Format:,Features:,Color:,MPN:,BTU Heating Rating:,Item Depth:,Area Covered:,Heating Element Material:,Item Length:,EC Range:,Condition:,Item Width:,Annual Fuel Utilization Efficiency (AFUE):,Country/Region of Manufacture:,Model:,Energy Star:,Voltage:,Style:,Custom Bundle:,Heating System:,Modified Item:,Mounting,Product name,Power line,Product Meas,Heating power,Use,Net Weight/Gross Weight,Box Size,Package Include,manufacturer_part_number,Maximum Coverage Area,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,BoxSize,Rated Voltage,Main material:
Portable Indoor Electric Space Heater 1500W Home Office Adjustable Thermostat,115.00,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Sunnydaze Decor,Electric,Stainless Steel,120,BAO-083,"Black, Red","Automatic Shutoff, Blower/Fan, Portable, Radiates Heat, Rust Resistant, Variable Heat Control",9.25,11.25,BAO-083,N/A,China,1 Year,810047678083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage AZTEC 23.5” X 35.5”Flowers Picture Radiant Heater Model 2236.,,Last item available, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","Aztec International, LTD",Electric,Metal,110 V,2236,Multicolor,Switch,"23""",35.5”,2236,Corded,United States,None,Does not apply,Unknown,None,No,1,Unknown,None,Electric,None,Unknown,Unknown,None,Switch,4 Stars,Unknown,Unknown,Unknown,6 Feet,23.5”,A+ - G,Unknown,"1""",Radiant Desk Heater,Unknown,Radiant,Wall,None,401-500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus H4500 Heater 14inch Oscillating Pedestal Digital Fan ,114.99,10 watchers, ,,Optimus,Fan,N/A,N/A,Optimus H-4500,N/A,Oscillation,14 in,N/A,Does Not Apply,,,,Does Not Apply,,,,N/A,,,N/A,,N/A,N/A,N/A,Digital,A++,N/A,N/A,N/A,,,A+++ - G,,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EconoHome Wall Mount Space Heating Panel  with Thermostat 600W Convection Heater,110.00, , ,,EconoHome,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lifesmart 6 Element 1500W Portable Electric Infrared Quartz Space Heater, Indoor",114.99,522 sold,"[""Have just received and used it for testing only. Very easy to use after reading users guide. Strong fan to disperse heat quickly. The casing doesn't get too hot at the touch to move during use. I am operating it via the remote control which is fantastic. Thanks for including a second remote control to use as needed. A perk most companies overlook. The operation panel in the front is easy to see and read. Unit is not small in size, but it's designed for function over look.It's a great item that I highly recommend."", ""I'm probably would return this if it were from a brick and mortar store but don't want to pay return shipping. The unit puts out a lot of heat but you also feel the cool blowing air with the heat....it's sort of strange. The fan is very loud. Also the heating element goes out at times. Not sure what that is about. Think it could be going bad already...going to give it more time to see if that keeps happening."", 'It is easy to understand the directions on operation. It works very well for extra heat source.  I really like it and will recommend it to anyone.', ""For the last 4 year's we heated our house with the radiator style heaters it took 5 of them to keep up with the cold weather here in south Dakota this year we tried our new heater and are completely amazed just one and its keeping the whole house warm its 11 degrees out side the house is at 72 degrees very happy customer."", 'Received quickly (very fast), works perfectly for my garage (2 car) &amp; just as described!', 'This works great to keep my office warm day and night.  The economy feature is great.', 'Black metal one is noisy...wood one is good', 'Works great really quiet', 'works very well   love it']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LifeSmart,Electric,,120 V,,,Timer,,,LS-6DMIQH-X,,,,817223014208,,,,3,,,,,,,,,,,,Greater Than 1000 sq ft,,,,,,Portable Heater,,Infrared,Floor,,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broan-NuTone Ceiling Heater 1,250-Watt Surface-Mount Fan-Forced",111.9,Last item available,"['the product shown is not what I received.  the illustration is the wire coil unit and the 157 is a solid core heat unit, kinda like an electric stove top.  I have not used it enough to know if it works as well as the coiled wire.  It takes longer to heat up than the coil type.  I am unsure what happens if the unit overheats.  It has some type of thermal overload resistor, but not sure if it will reset like the thermal unit on the coil type.also my unit had been opened and was missing a screw and the center name plate, but I was able to use those parts from the old unit I was replacing.', 'The heater was purchased to replace an old model ceiling heater.  This one, manufactured by Broan, is installed in an elevator.  Normally, elevators are placed inside the building for use and uses the ambient air to heat/cool the space.  This particular elevator is installed on an outside wall and ambient temperatures are hard to come by.The Broan unit is turned on during the fall/winter season and runs almost constantly.  It keeps the elevator well heated.  The installation of the unit is very simple and can readily be installed over a 4x4 electrical box.  After the unit has been in use for awhile, the metal screen covering may begin to rattle.  There is a single phillips-head screw that holds the screen on.  This screw will loosen and requires tightening periodically.  Another alternative is to use a ""Lock-Tite"" product to secure the screw.  I\'ve tried using lock washers, but they do not hold very well.Overall, the unit is durable.  The small motor that rotates the fan needs to be cleaned and lubricated periodically.  At times, I\'ve found the fan speed slowing down and have had to clean/lubricate the motor to get the fan up to speed.  If the fan motor decreases too much, there is a thermal heat sensor that will cause the heater element to turn off.  This prevents the heater element to overheat and cause a fire.  Overall, a decent little unit that thats the chill off the space during the winter months.  Because of my search for this product, I purchased two of them.  One of them is in \'bench stock\' in case the first one should fail.', 'Don\'t know why I waited so long to purchase and install a ceiling heater in our Master Bath.  After one week of use, I am very pleased and hoping that it will provide many years of service and comfort.  I was disappointed to discover that there was no  installation  hardware included with the fan.  The instructions indicated that it was  ""easy to install"" - only if you have your own hardware available.', 'I bought this to replace a Broan model 154 that lasted about 2 years.  So far it works great.  It heats the bathroom nicely and is much quieter because it has a solid metal heating element instead of the thin coiled wire element of the model 154.  This type of element should be more efficient and last longer as well, but only time will tell.', 'Installed it overhead just as I step out of the shower. Works on a timer that I set for approx. 10 minutes. The family likes it also.', 'Improved design replaced old one like it that stopped working after several years', 'This device stopped working in a week after installation. The power to the heater tested good.', ""Love this little heater, just renivating my Mum's home.   It's so nice to have this little heater in the basement bath.  Very reasonable in price and a nice touch!!!"", 'Brand new unused, unopened.  Excellent purchase. ', 'The Broan 157 ceiling heater is a great upgrade from the "" twisted wire element "" heater. This unit has a solid element like on a stove top burner and heats my bathroom better.  You will be very happy with this unit.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Broan,"Corded Electric, Fan, Fan,Electric, Electric, Electric Fan","Aluminum,Nickel,Chrome,Metal, Aluminum, Satin Finish, Chrome, Aluminum,Metal,Chrome, Nickel, Aluminum,Chrome,Metal,Nickel, Metal, Satin Nickel",120 V,157,Gray,Indoor,11 in,,157,Unvented,,,0026715080731,,,,1,,replacement water heater heating elements,,,,,,"Dial, Switch, Dial,Remote Control,Switch, Remote Control, Switch,Dial,Remote Control",,,,Under 150sq ft,,,,,,Surface-Mounted,,Radiant,"Wall,Ceiling, Wall, Ceiling",Low,1250 W,0026715080731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART DECO TOMBSTONE VINTAGE SPACE HEATER WORKING HOTPOINT GE~ PROP HOUSE,110.0, , ,,HOT POINT GE,Electric,Steel,115 V,,,,,,,,,,,,,,1,,,,,,,,Switch,,,,,,,,,,Portable Heater,,Forced Air/Fan,Floor,,1320 WATTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consort PLE 2kW Panel Heater With Electronic Timer,85.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Consort,Electric,,,,,Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dimplex Infra Red Wall Mounted Heater Garage/Bathroom IRX, 2 sizes available",85.99,36 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dimplex,,,,,,,,,"IRX60/120E, IRX50N",,,,,,,,,,,,,,,,,,,,,,,,,,Infrared,,,"Garage, Wall",,,,Bathroom,Infrared,Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maradyne 4000-12V Dc Auxiliary Heater,12V, Hot Rod Heater For A Old Car/truck",155.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Maradyne,N/A,,12 V,H-400012,N/A,"Built-In Two-Speed Fan Control Switch, Adjustable Airflow Louvers",9.000,,H-400012,,CN,,0810349011175,,,No,,2013,,,,"13,200",,,Switch,,,,,N/A,,,,,Forced Air/Fan,,,Floor,,,,,,,N/A,No,No,N/A,No,8.4,9.000,N/A,N/A,N/A,13.800,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
