Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Binding,Item Depth,Returns,Manufacturer Part Number,Manufacturer,Type,Item Height,Item Weight,Prop65_fl,Prop65Warning,Number of Heat Settings,PackageQuantityCASuggestion,EAN,Heating Element Format,Heating Element Material,Tank Capacity,BTU Heating Rating,Control Style,Heating System,Annual Fuel Utilization Efficiency (AFUE),Mounting Location,Operating Sound Rating,Timer Control,Year Manufactured,Smart Home Compatibility,Energy Star,Energy Efficiency Ratio (EER),Area Covered,EC Range,Power,PackQty,Heating Wattage,Height,Cable Length,Colour,GTIN,Size,SHIPPING,RETURN,ITEM LOCATION,International buyers,Custom Bundle,Current Rating,Air Direction,Warranty,VAT,Width,Depth,ISBN,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,Heater Controls,Automatic shutoff,Product Weight (lb),Installation,Heater Type,Timer Included,Color Family,Product Width (in),Anti-freeze setting,Indoor/Outdoor,ACLI Safety Plug,Product Height (in),Thermostat,Wattage (watts),Product Depth (in),Amperage (amps),Heat Output (BTU/hour),Heating Technology Type,Certifications and Listings,Included Components,Item model number,Product Dimensions,Is Discontinued By Manufacturer,Import Designation,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Country of Origin,Frame Material,Amperage,eBay Durapower Store Category,Tonnage,Power/Fuel Type,Area Heated (Sq Ft),Heat rating (BTU/hour),Bulb Type,Mount Location,Room Size,Portable Heater Features,Heating Product Type,Product Length (in),Department,Portable Heater Safety Features,Cord Length (in),Power Options,Voltage (volts),Warranty Description,Number of Pieces,Batteries Required,Is Assembly Required?,item_length,item_width,Battery Size,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,Length,Heater Style,Resistance Properties,Style Name,Global Brand License,Home Decor Style,Theme,Price Per Unit UOM,Fuel Type,Count Per Pack,Finish,Number of Burners,Seating Capacity,Product Name,Number of Drawers,Recommended Room,Count,Age Group,Watts,Color Category,Gender,Is Assembly Required,PPU Quantity of Units,Number of Shelves,Piece Count,Mount Type,Multipack Quantity,Number of Customer Ratings,Baseboard Heating Type,Hydronic,Vented,Model No.,Item Weight ‏,manufacturer_part_number,Compressor Type,Product Type,Item Weight Major,SKU,Heating Element,Maximum Heat Power,Minimum Heat Power,Product Model,Pattern Name,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,room_size,heater_type,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,heat_rating_btu_hour,pack_size,amperage_amps,voltage_volts,product_weight_lb,Indoor Safe,Dimensions,BTU per Hour,Safety Tip-over Switch,Heat Type,Control Type,Oxygen Depletion Sensor,Ignition,Min. Tank Capacity,Pack Size,package_length,Refrigerant,Location,Energy Rating,Country Of Origin,Number of Cool Speeds,Modification Description,Style,Manufacturer Color,Non-Domestic Product,Modified Item,Product Weight (lb.),Product Depth (in.),Accessories Included,Area Heated (Sq. Ft.),Oscillation,Model #:,Room Size (sq. ft.),Remote Control,Product Width (in.),Product Height (in.),Vent Hose Exhaust Configuration,Sub-Type,Seat Depth,Firmness,Set Includes,Number of Items in Set,Load Capacity,Stove Type Compatibility,UPC/GTIN Code,Mor Electric Heating SKU,Product Weight lb,Product Depth in,Wattage,Remote Access,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Room,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Stove Type Compability,PartNumber,Heating Capacity,Built-In Thermostat,Automatic Shut-Off,Requires Venting,On/Off Heat,Flame Intensity Control,Cord length:,Coverage Area,Amps,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Connectivity,Dosage,Product,Format,Compatible Brand,Compatible Model,Author,Book Tittle,Language,Batteries Included?,Finish Types,Item Package Quantity,Specific Uses,Air Flow Capacity,Special Features,Part Number,Batteries,Room Coverage Area,Return,state limitations,Product name,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,bulb_type,mount_location,product_length_in,MaterialType,Heating Element Type,Plug Type,Cord Length,Overall Height,Overall Width
Portable Indoor Electric Space Heater 1500W Home Office Adjustable Thermostat,115.00,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Sunnydaze Decor,Electric,Stainless Steel,120,BAO-083,"Black, Red","Automatic Shutoff, Blower/Fan, Portable, Radiates Heat, Rust Resistant, Variable Heat Control",9.25,11.25,BAO-083,N/A,China,1 Year,810047678083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EconoHome 400w Wall Mount Smart Space Heater Panel with Glass Heat Guard Cover,117.00,14 watchers, ,,EconoHome,,,,,,,26.5 x 25.9 x 2.8 inches,26.5 x 25.9 x 2.8 inches,Not Applicable,,,,,Tools & Home Improvement,26.5 x 25.9 x 2.8 inches,30 Day Money-Back Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dura Heat Euh1500 1500 Watt 120 Volt Electric Forced Air Heater,118.33,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",World Marketing Of America,,,,World Marketing Of America,,,12.50,13.75,,,,,013204415006,,,,EUH1500,World Marketing Of America,Air Heater,8.25,8.00,Y,The power cord on this product contains lead or le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VULCAN OSF1530-1800B Finned Strip Heater,240V,30-1/2 In. L",118.78, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vulcan,,Steel,240 V,OSF1530-1800B,,,,,RE8-1000B,,,,,,,,,,Finned Strip Heaters,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Heater 1500W Infrared Heater New In Box,120.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dr. Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD MARKETING TT-360 DH Propane Tank Top Heater,117.97,30-day returns,"['This heater works wonderfully.  Love it.  Could not get it to start at first set on low but starts very easily when set on medium.  Puts out good lateral heat, so it works well to gather around it,   Other heaters I considered, most of the heat goes strait up into the air.  ', ""Just got this and tried it twice this afternoon. I do not have the nerve to try it again. It assembles to the tank easily. Lights easily and burns for about three minutes on low just perfectly. Then you hear a small roaring sound that last for another 60 seconds, the BAM. Sounds like a small explosion. I think I might sit it out in the middle of my back yard and see what happens if I don't jump to shut it down immediately like I did twice today. Looks like a Chinese bomb to me. "", ""Mount is not strong.  It works but I think more heat goes up in warm air than is radiated.  Heaters with metal radiators don't work as well as ones with ceramic elements."", 'The best type of heater for your patio or deck. 360 degree heat area. Low setting is always plenty. Parts are easy to find. ', ""Love it!  We have quite a few propane tanks hanging around, so all we needed to do was get this and put it on top.  Heats up quickly.  We hang out outside and use this to keep warm.  We have the tall propane heater as well, but this one is lower and heats your midsection.  At this price, it's a great bargain!"", ""Works great. The only thing is I couldn't light it through the hole and just directly on the burner works well."", 'This space heater does the job I need it to do.  Heat output is very adequate.  3 heat settings on an easy to read dial.  Assembly was easy.  Attaching it to the tank was easy.  Heat output is straight up in a fairly narrow column, so I made a metal spreader that sits on top to widen the heat plume.', 'TT-360 Duraheat works awesome, easy light (match), 3 settings and plenty of heat for my work area. (20’x20’)', 'Good value considering size and price of unit. Easily hooks up to 20lb tank. Easy to light. Stays lit. I made mistake of lighting it in the bedroom. It did put some fumes off that made me nauseous. It’s not labeled for indoor use. ', 'works great. we will see what happens when winter is done. PS should offer heat shield for one side that is removeable.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,Propane,,Not Electric,Dura Heat TT-360,Silver,,,,TT360,Infrared,,,0013204203603,,,,,,Not Available,,,,,3,2,0013204203603,Coil,Brass,11-20 gal (39-76 L),30000-39999 BTU,"Analog/Mechanical, Switch",Radiant,Less Than 80%,Floor,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2415I King Electric Wall Heater NEW,120.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",King Electric,Electric,,240 Volt,W2415,Bright White,,,,W2415,,,,N/A,,,,,,Residential Wall Heaters,,,,,,,,,,,,,Forced Air/Fan,,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LifeSmart 1500W Portable 21"" Electric Infrared Quartz Tower Space Heater, Indoor",119.99,30-day returns,"['This is a very good product. We have purchased three (3) of these heaters for our home. We use them in our Sun Room, basement and garage during the winter months to keep the rooms more comfortable when using them. Very efficient to use and great Heaters. Highly recommend! A+++++++++', 'This was one of the best purchase of the year work great comes with remote even has a digital display with auto shut off and got it at a fantastic price.', ""At this time haven't used these units except to make sure they turn on and work. Didn't notice it at the time when purchased that they only have a 30 day warranty, assumed they would have at least 3 to 6 month warranty."", 'I already had one that I bought last year. They work great in small apartments and save on electric bill. i really like this product.', 'Great product really works well and looks good too. It is the only heat we use in the apartment.', 'We used them in a mobile home.  It took a little work to get them in the appropriate area of the room. They worked great.', 'Seems to be well made.  Arrived well-packed.  Very easy to setup and use.  Controls on keypad self-explanatory.  Adjusts easily and shuts off automatically when desired temperature is reached.  Would recommend!', 'Heater works wonderfully! The remote seems handy, but we have yet to use it. It warms up the room 20x20 in about an hour, and keeps it the temp set. I love the economy setting, its perfect for sleeping. We liked it so much we bought 3!', 'Small, but kicks out some heat.  Not enough power to heat a completely cold, unheated room, but good supplemental  unit.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LifeSmart,Electric,,,LS-PCHT1029,,,,,LS-PCHT1029-2,,,,817223011436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desk Panel Heater Kotatsu low-profile heater with 3-hour timer Japan Import NEW,118.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KREO,Electric,N/A,100 V,‎KH1800,Gray,Timer,46cm,36cm,‎KH1800,N/A,Japan,,Does not apply,,3cm,,,,Portable Heater,,,,,N/A,,,N/A,N/A,N/A,N/A,Switch,Panel,N/A,Desk/Tabletop,N/A,3 hrs,2019,N/A,Not Compliant,N/A,N/A,A+++ - D,51-100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater F242650 Tank-Top Propane Heater, 30,000-BTU - Quantity 1",117.11,181 sold,"['Product is easy to assemble, simple to operate and has adjustable output making it great for small and larger areas. Wish it could be used indoors for emergency power outages but it does not have an oxygen depletion sensor which is necessary for that purpose. Great product to use on your deck for cool to cold temperature outings in fall and winter. ', 'This heater does work.  I have had a couple of hic-ups with it though.  One burner shut off a couple times...but did finally stay on the last time I lit it.The final reason why I decided to by the Mr. Heater is because the statement said it was made in the USA.  Not so!!!  When I received it, I looked on the box and it said (MADE IN CHINA).Disappointing.  I, personally, am REALLY tired of buying stuff made in China!!!  If there was a neutral button, I would have gone all neutral.BUY USA....  Thank you, Tom', ""Pro's~~puts out a lot of heat fast.  I haven't  used it enough to rate its fuel consumption efficiency.  Propane here is around three bucks a gallon.  Easy assembly to get it working.con's~~I don't know if this is a con, but their are wires and tubing exposed right next to the heat pans and it just seems like they could be in conduit or something.  These are visible in the pictures shown.  Maybe perfectly safe, just look iffy."", 'I have one other Mr. Heater product and it works fine so I purchased this unit. The unit goes out constantly whenever a slight breeze is blowing. It is extremely frustrating having to constantly be watching the outages. I contacted customer service at Mr. Heater to explain the issue and got only one argument after another. The representative was more interested in arguing semantics like wind vs. breeze rather than addressing the issue at hand. I was totally frustrated and am totally dissatisfied with this product. I would absolutely NOT recommend this product to anyone who is planning on using it outdoors for any reason. This is an ongoing issue as I have since read several reviews from others who have the same problem with this product. I have disconnected the unit and it is in my shed where it will probably stay until I can find someone who is willing to give me a couple of bucks for it.', 'This is a great tank top. I have had several brands so I know good from not so good. This lights easily, stays lit and provides lots of heat. Glad I bought Mr. Heater.', 'Sitting on top of a 40# tank in a corner...takes the chill off of an outside kitchen lounge area. Works perfectly..happy customer. Seems to be better build quality than others I considered at the local large retail stores...They seemed a little cheap. Think this is a better product. ', 'Great heater for the price.  It has 3 heater settings and is extremely easy to operate.Liked it so much that I purchased a 1 burner portable (camp style) for our ice fishing shanty.', 'ive owned a few of these over the years, 1 and 2 head models, and work everytime, first  2 head model made it 10 years in wisconsin garage...dont skimp!, buy MR. HEATER!!!!', 'Great product.    Puts off plenty of heat even on low.     Really like having 3 settings. Low Med High.  ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,Chrome,Not Electric,MH30T,White,"Timer, Heater, Outdoor",26.5 in.,17.2 in.,F242650,Infrared,United States,,089301426504,,,,,,Tank Top,,,,,1,,0089301426504,,,,30000 BTU,Digital,Radiant,,Garage,,15 Minutes,,,,,150 to 249 sq ft,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
