Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Colour,Custom Bundle,Modified Item,Item Depth,Item Width,Energy Efficiency Rating,Material,Tank Capacity,Power Source,Type,Features,Operating Sound Rating,Energy Efficiency Ratio (EER),MPN,Mounting Location,Item Length,Area Covered,Number of Heat Settings,Power,BTU Heating Rating,Brand,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Tonnage,Color,Rated Voltage,Mounting Hole Distance:,Mounting Hole Size,Size,Cooling Method,Cable Length,Weight,EAN,Country/Region of Manufacture,Air Direction,Manufacturer Part Number,Smart Home Compatibility,Prop65_fl,Item Height,Manufacturer,Prop65Warning,Country of Origin,Year Manufactured,Smart Home Protocol,ISBN,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Energy Star,Perfermance 1,Current Rating,Marke,Rated Power,Mounting Hole Distance,International Availability,Compatible Brand,Compatible Model,Department,Product,Refrigerant,Timer Control,Manufacturer Warranty,Corrugation Length,Heating material,Location,Bundle Listing,Depth,Heater Style,Heating mode,Heating Wattage,Height,Mounting distance dimensions,Recommended Environment,Power Type,Recommended Location,Actual Color,Object Type,Handmade,Item Weight,Temperature Tolerance,Heat Material,Range,Shell Material,Gift,Shipping,Country Of Origin,Package Contents,Wire  Length,Wire width x thickness,Perfermance,Cable length,Product Type,Country of Manufacture,Item model number,Package Dimensions,Warranty,Maximum power,Placement on Vehicle,fit 1,Style,Part Type,OutOfStockControl,Control Type,Energy Rating,Wattage,Wire Length,Item Type,Noise,Feature,Patio Heaters Type,ProductType,Head Material,Pin,Usage,Body Material,Current Amp,inv,select,Kero-Sun Omni 85 I-L Wick,Wick 509,Hole Diameter,Color:,Final Product,Size:,Compatible Product,HeatMate CTN110 Wick,KeroHeat HMN-110 Wick,Measurement (Approximate),Redstone Wick,Resistance Properties,Name,Rated power,Rated frequency,Rated voltage,Applicable area,Control method,Recommended environment,Applicable,Package Included,Power Wire Length,Product color,Product function,Product power,Product size,Product voltage,Power supply,Unit Type,Plug Type,*1. Voltage,*2. Shell color,*3. Length of power cable,*4. Power,*5. Product size,Product Dimensions,Domestic Shipping,California residents,International Shipping,Shipping Weight,Applications 2,Applications 3,Function 1,Function 2,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Is Discontinued By Manufacturer,Non-Domestic Product,Kero-World KW-23B
Fan Heater 2KW 2000W Portable SILENT Electric FH06 Hot & Cold Air Upright ,14.59,122 questions asked, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,FH06,White,No,No,9.4INCH,4.7INCH,A,plastic,no,Electric,Portable Heater,Oscillation,Standard,3 or Less,none,"Desk/Tabletop, Floor",9.6INCH,21 - 30 sq m,2,1501-2000 W,2000-2999 BTU,ACORN SOLUTION,Switch,Copper,A++ - E,Forced Air/Fan,no,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird Brand Premium Grade Paraffin Litre Kerosene Heater Lamp Oil Fuel 1L 4L 8L,4.99,"1,463 sold", ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Clear,,,,,,liquid,,"Kerosene, Oil",,,,,,,,,,,,Bird brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500W Portable Electric Space Heater Fan Forced Adjustable Thermostat 3 Settings,17.98,71 sold,"['It had a broken piece on the back side, but it was a quick fix and the product is very good after all. ', 'Quiet and very warm, easy to operate and dependable.', 'This heater does a good job.', 'Awesome quality!', 'Is the best deal.', ""It's noisy.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZ449,,,,,6.800,,Ceramic,,Fan,Fan Heater,Oscillating,Space Heater,,CZ449,,8.300,,2,1500W,,comfort zone,Switch,,,,,,0720189167249,17 x 6 x 4 inches,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100W 12V Car Fan Air Heater Constant Temperature Heating Heaters Element PTC ,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,"PTC,Nylon",,Car,Portable Heater,,,,,car,,,,100W,,Unbranded,,,,Motor,,12 V,Does Not Apply,,Black,12V,Approx. 87mm / 3.4inch,Approx. 4mm / 0.2inch,2.4 X2.4 X1.7 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Precision 742G Bucket Heater , , ,"['It does heat a bucket pretty good. Not in minutes, but in the course of several minutes. Wont heat up the bathtub hardly. Uses a lot of power. The product should put better labeling on it... Or at least in a manual. My brother burnt himself picking it up. Also, it fails to show how to properly immerse it. Is it supposed to stand up or can it float on its side? Is there a water level limit? Can the handle be submerged. The plastic part is the handle, right?', 'I wanted a bucket heater that keeps the water from freezing over in a livestock bucket.  The instructions that came with it said to not submerge this heater into a bucket or receptacle that cannot handle ""boiling water"".  It said the heater will maintain that temperature and the auto turn off valve will prevent the temperature from dropping too low to freeze.  So, I plugged it into a 5 gallon bucket of water and it heated up way too hot for any animal to want to drink it.  I then put it in a 25 gallon bucket and the same thing happened, although not boiling, was still too hot for any pasture animal to drink.  The box showed a horse on it and I can tell  you right now, none of my horses drink hot coffee, tea, OR plain water.  I have no idea what purpose this heater has and when I called to report it there was no one there at the time to help me and I was promised  call back to discuss the findings.  No call ever came.  I would like to return it but refuse to pay return shipping on such a ridiculous product.  I will shop elsewhere.SJH', 'This works well for small bodies of water.  It was in a 25 gallon water tank for 24 hours and was just warm.  The ambient temperature was 55 degrees.  I was thinking it would be at a boil way before that, after reading the description.  I guess it is only 1000 watts.  It will work well to maintain the temperature, it just takes a while to get there.', 'Heats 5 gallon bucket of water to low oil in under 30 minutes. Well made product. I would purchase again.', ""For the price this is a great product. I recommend hooking it up to a INK BIRD ITC-308 I believe it's called. It makes a great combo for reptiles or fish Very large fish tanks. "", 'So far i bought 2 of these.for the time that i had these, i really like them.only had a fee months but work great in 3 gallon buckets! 30 minutes  and water is hot.', 'I just put a little fountain water pump laying sideways in the pot I have it in, to circulate the water. It works perfectly.', 'Works perfect when I need hot  water at my shop. ', 'This unit really heats up the water. I added a water heater thermostat on the side of the bucket to keep the temps in the range I wanted. 120 deg F to 130 deg F. Works very well.', 'just the right size for a small bucket of water, gets hot quick']",,,742G,,,,,,,Steel,,Electric,Bucket Heater,,,,742G,,,,1,,,Allied Precision,Digital,,,Heat Pump,,120 V,0022102074215,,"Silver, Gray",,,,,Water,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater Buddy BIG BUDDY Propane Heater WARM Z IT UP COOKING WARMING TRAY PAN,16.99,174 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Propane,,,,,,,,,,,,Mr Heater,,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Wick Kerosene Heater Wick  #AW-500 NEW  Fits many perfection models,16.29,"3,225 sold", ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Kerosene,Portable Heater,,,,,,,,,,,American,,,,Radiant,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small Portable Electric PTC Plugin 950W Heater Swing, Modes, SmartTouch",13.99,279 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,BG - EH08,Black and White,,,,14cm,Compliant,Steel,,Electric,Electric Portable Heater,"Anti-Dumping Setting, SmartTouch",,,Does Not Apply,Desk/Tabletop,21 cm,,3,950W,,ProTech,"Smart Touch, Touch",,,Electric,,220V,,,,,,,,,,1010kg,Does not apply,China,90 degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Pcs MCH Metal Ceramic Heater Plate Rectangle Resistive Heating Elements,14.5,75 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Ceramic,Pack of 2,,,Does not apply,,,,,,,Hua Yue Ou,,,,,,,,,White,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Heatwave Electric Ceramic Parabolic Space Heater,19.99,Last item available, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,HEATP-MC1,,,,,,,Ceramic,,Electric,Portable Heater,Auto Shut-off,,,HEATP-MC1,,,201-250 sq ft,2,350 W,,Handy Heater,,,,"Radiant, Convection",,120 V,0735541181207,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
