Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Type 1,MPN,Colour,Size,Air Direction,Cable Length,Weight,Product Name,Temperature,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Origin,Perfermance 2,Application,Cover material,Lead wire,Perfermance 1,Number of Cool Speeds,Compressor Type,Compatible Brand,Compatible Model,Department,Final Product,Item Height,Manufacturer Part Number,Product,ISBN,EAN,Tonnage,Bundle Listing,Mounting Hole Distance,Mounting Hole Size,Product Size,Product Weight,Rated Power,Rated Voltage,Wire length,Bracket size,Suction cup length,Location,Current Rating,Package Contents,Temperature Tolerance,Heat Material,Range,Shell Material,Wire  Length,Wire width x thickness,Perfermance,Country of Manufacture,Object Type,Height,Handmade,Product Type,Modified Item,SKU,Recommended Environment,Control Type,Energy Rating,Normal temperature resistance,Country of Origin,Gear position,Timer,Temperature setting,Modes,Dimension,Net Weight,Gross Weight,Cooling Method,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Style,Heating Wattage,Recommended Location,Heater Style,Personal Heater,Energy Efficiency Rating,Operation Method,Mounting Hole Distance:,Cooling System,Corrugation Length,Heating material,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word,Key Word 2,Key Word 3,Key Word 4,UPC/GTIN Code,Mor Electric Heating SKU,Refrigerant,Rod Size,Wire Material,Wire Sleeve Material,Lead Length,Rod Material,Plug,Wind Mode,Unit Type,Plug Type,Diameter of installation hole,Distance of installation hole,Product dimension,Rated power,Suitable room,Working voltage of fan,Bundle Description,Function3,Function4,Function5,Function6,Function7,Function8,Power Mode,Volume,Certification,Colors,Function,Function1,Function2,Finish,Category,Candle Power,Fuel Type,Shank Length,Units Per Consumer Unit,Chain Length Size,Shackle Diameter,Fluid Ounces,Breaking Strength,Shackle Clearance,Assembled Product Weight,Maximum Temperature,Count,PPU Quantity of Units,Cold Crank Amp,Filter Life,Price Per Unit UOM,Power Type,Beam Spread,Items Included,Home Decor Style,Product Identifiers,Dimensions,Reserve Capacity,Maximum Motor Speed,Receiver Compatibility,Rated Load Capacity,Count Per Pack,Amps,Drop Distance,Theme,Rated power:,Certification:,Applicable Area,Programmable Timer,Air Volume,Idle Speed of Fan,Display Screen,Set Temp,Frequency,Heater Type,Non-Domestic Product,Hole Diameter,Dimension(L*W*H),Insulation,Use,Area Heated
"Room Space Heater Ceramic Portable for Indoor 13""/ 24"" 1500W/ 500W Small Plug in",24.99,31 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Forced Air/Fan,HTR,China,No,4.8,"6,7",N/A,Ceramic,A+++,N/A,Electric,Portable Heater,"Auto Shut-off, Timer",HomePlug,12 hrs,"Black , White",2022,11-20 dB,3 or Less,"Desk/Tabletop, Floor, Wall","24 in , 13 in",Variable,251-300 sq ft,1001-1500 W,2000-2999 BTU,5 Core,1 Month,"Digital, Remote Control, Switch",Copper,A+++ - D,Radiant,100%,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric Space Heater Super Quiet Oscillating Heater Fan Thermostat,23.99,103 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,Oscillation,,,Black,,,,Floor,,,,,,EconoHome,,,,,Infrared,,110 V,850014890933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/24V/110V/220V 2PCS PTC Heating Element Air Heating Sensor Hair Dryer Heater,22.07,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,1,,,,,,Ceramics,,,,PTC thermistor,,,,,,,,,,,,,,Unbranded,,,,,,,12 V,,PTC thermistor,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote Control  Electric Wall Heater Portable Plug In Heating Fan with Timer UK,16.58,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,Flame-retardant ABS+Flame-retardant nylon+PP,,,Electric,Portable Heater,Timer,,,,,31-40 dB,,Wall,,3,11 - 20 sq m,401-500 W,,Unbranded,,Remote Control,Ceramic,,Convection,,220V-240V,,,Does not apply,Black,10.5*7*18cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilitech Milkhouse Utility Fan Heater With Adjustable Thermostat,21.99, , ,,Coil,,China,No,10.24 in,7.09 in,,Steel,,,Fan,Portable Heater,Auto Shut-off,,,Black,,,,Floor,,2,200 ft²,1001-1500 W,5120,Utilitech,,"Dial, Switch",,,Forced Air/Fan,,120 V,819079025018,,,,,2-Way,7.2 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Fast Heater Fan Portable Home Office Adjustable Thermostat 1500W ,23.99,196 sold,"['Awesome heater Great looks great features love it', 'it works good for the price ,the fan could be a little stronger', 'great product good for small room', 'This  Electric Space is Good for small space -', 'Good thanks ', 'Fan is not powerful enough', 'Awesome thank you ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,NFJ-001,,,,,,"Ceramic, ABS",,,"Electric, Fan",Portable Heater,"Thermostat, Overheat Protection, Tip Over Protection, Portable Handle, Safe and Quiet",,,White,,Quiet,,"Desk/Tabletop, Floor",,,101-150 sq ft,750-1500W,,ICLOVER,,Switch,Ceramic,,PTC Ceramic Heating Tech,,220 V,637801548709,,,,,,1.3m Power Cord,3.4lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Set Of 2 Vintage Hubbard #18 Radiant Ceramic Heater Grate Insert Bricks 8"" tall",20.0,Sale benefits charity, ,,,Hubbard #18,,,,,,Ceramic,,,Natural Gas,Ceramic Grate Insert,,,,Beige,,,,,"8""",,,,,Hubbard,,,,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH9BX 9000 BTU Propane Portable Buddy Heater, ,12 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Mr. Heater Buddy MH9BX,,,,,,,,,Propane,Portable Heater,,,,,,,,,,,,,,Mr. Heater,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Thermostat Ceramic Space Heater ETL Listed Hot & Cool PTC Heater Portable ,,153 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Ceramic,,,"Ceramic, Electric, Fan",Portable Heater,,,,White,,,,,,,,1500W,,Glamuric,,,,,Forced Air/Fan,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERFECTION KEROSENE HEATER WICK- 500 SERIES *COTTON / FIBERGLASS* & FREE BONUS ,20.99,42 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Kerosene,Portable Heater,,,,White,,,,,,,,,,World Marketing of America,,,,,"Radiant, Convection",,,013204275402,,27540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heating Element Constant Temperature PTC Heater Electric Water Heater Parts ,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Heating Elements,,,,,,,,,Electric,Electric Water Heater Parts,,,,Silver,,,,,,,,,,Unbranded,,,,,,,,,,Heating Elements,,25x20x5mm,,,,PTC Heating Element,60/80/140/230degrees,About 10cm,For heating air or solid,"PTC heater for yoghurt machine, bottle warmer",Widely used in hair crimping iron or straighten...,"PTC heating element is high reliability, long s...",CN(Origin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Outlet Plug In Ceramic Personal Mini Space Heater 400w Digital Timer,24.95,143 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,,,6 in,5 in,,Ceramic,,1 gal or Less (5 L),Electric,Portable Heater,"Automatic Shutoff, Cool-to-Touch, Cordless, Mini, Timer",,,Black,,,,Wall,9 inch,Variable,100 sq ft or Less,,,5 Star Super Deals,,"Digital, Switch, Touch",,,Forced Air/Fan,,120 V,742776061648,,MPN4037130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heating Element Aluminum Temperature Thermistor Air Electric Heater Plate,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Other,3009975350,China,,Standard,Standard,,Aluminum,A,Standard,Electric,Electric Water Heater Parts,Durable,,,Multicolor,,Other,Standard,Other,Standard,Other,Other,50/100/50W,Other,Unbranded,,Other,Other,A - G,Forced Air/Fan,Other,24V,,,3009975375,,"6*30 mm, 100x30x6mm",,,,PTC Heating Element,60/230/120C,,,,,,,High efficiency/safe and reliable heating plate,Used in dehumidifier/dryer/ heater etc,Aluminium,About 15cm,Constant temperature heater element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sall Electric Handy Room Heater Compact Plug-in  Adjustable Timer (400 Watts),, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,Timer,,,,,,,Baseboard,,,,,,Handy Heater,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Heater Fast Ceramic Electric Portable Heating Cooler Hot Fan Winter - 400W,23.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,China,,,,,Copper,,1 gal or Less (5 L),Electric,Portable Heater,Timer,,,Black,2000,Standard,3 or Less,"Desk/Tabletop, Floor",,2,11 - 20 sq m,1501-2000 W,2000-2999 BTU,Unbranded,,Analog/Mechanical,Steel,A+++ - D,Convection,Less Than 80%,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Mini Heater hand Electric Air Warmer Heating Winter Keep Warm Desk Fan,21.20,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW ECONO HOME PLUG IN THERMOSTAT UNIVERSAL HEATER & AC TEMPERATURE CONTROL,21.99,6 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,Universal,,,,,PLUG IN THERMOSTAT,,,,,,,,,,,,,,EconoHome,,,,,,,,DOES NOT APPLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handy Heater Plug-In Personal Heater,22.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,No,,,,"Ceramic, Steel, Wood",,,Electric,,"Auto Shut-off, Timer","Bluetooth, Thread",,Black,2020,Standard,,Wall,,,,301-400 W,,Handy Heater,,"Digital, Switch",Steel,,Motor,,,,,,,,,5.7,,,,,,,,,,,,,,,1,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constant Temperature PTC Fan Car Heater Small Space Heating Incubator24V 180W WP,22.59,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,As Description,,,As The Descriptions Show6,As The Descriptions Show5,,As Description,,,,As Description,,,,Shown as the picture,,,,,As The Descriptions Show7,,,,,Unbranded,,,,,,,,Does Not Apply,,Does not Apply,Shown as the picture,As Description,,,,,,,,,,,,,,,,,,,Does not Apply,Does not Apply,Adult,As The Descriptions Show8,As The Descriptions Show4,Does not Apply,As Description,Does Not Apply,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constant Temperature PTC Fan Car Heater Small Space Heating Incubator12V 180W WP,22.49,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,As Description,,,,,,As The Descriptions Show,,,,As The Descriptions Show,,,,As Picture Show,,,,,,,,,,Unbranded,,,,,,,,Does Not Apply,,Does not apply,Shown as the picture,As Description,,,,,,,,,,,,,,,,,,,Does not Apply,Does not Apply,Adult,,,Does not Apply,As Description,Does Not Apply,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorful Handy Space Heater Heat Boss 1200 Watts,79.77, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Handy Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand NEW Mr. Heater F273701 5ft Propane Hose Assembly,24.9, ,"[""I bought two propane hoses 3 years ago, this one and one like it from the sports dept at Walmart.  After two years, the Walmart hose split at the male connector end and began leaking propane and it was really stiff, especially in cold weather.  This hose by Mr. Heater is still flexible and doesn't leak after 3 years use.  I use this hose to connect from my 20 lb tank to a propane torch nozzle.  I just bought another Mr. Heater hose to replace the Walmart hose. "", ""This enables you to run your Mr.Heater heater/burner on refillable 5 gal. propane bottles. I'm going to use this for the next time my power is out in winter. Last winter brought a once in 25 years snow storm that took power out for five days. It was so heavy I was snowed in for nearly two weeks!"", ""Was looking for parts to make this item because I didn't know they manufactured this. Then this hose showed up as a premade item.  SWEET!TY"", 'works well with my portable buddy heater. beats using all my one pound bottles while at home. have a 11 and a 5 lb tank i use.', 'It works now, but hope it doesn\'t quit; (Like two others have before) The valve quits, inside the hose. I must buy expensive replacement hoses.(Thar\'s a reason the gas is called; pro-""Pane"")', 'Just what i needed to hook up to a 20 lb cylinder.  Works great used it all gun season.', 'Used it to go from my Heater to a large propane tank. Way better than using the little green propane tanks.', 'I can pay $.70 a Lb. for propane using this hose assembly verses $2.75 for 1 Lb. propane bottles.', 'This hose was a perfect fit. I am very pleased with my purchase.', 'This hose is of best quality, with fitting made for this stove and 20lb tank.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,F273701,,,60 in,3.6 in,,Brass,,,Propane,Hose,,Thread,15 Minutes,Black,2018,None,,,72 in,1,,,,Mr. Heater,,,,,Radiant,,12 V,0089301737013,,F273701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
