Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Country of Origin,Air Direction,Colour,Location,Height,Depth,Width,EAN,Energy Efficiency Rating,Bundle Description,Cable Length,Size,Gender,Dial Color,Department,Lot,Type 1,Mounting & Moving,Control Type,Suitable Location,Refrigerant,Design,Tube Length,Wattage,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Recommended Environment,Heating Technology,Heater Style,Noise Level,Modification Description,Room Coverage Area,Manufacturer Color,Time Control,ISBN,Application,Temperature,Cover material,Perfermance,Product Name,Power (W),Unit Quantity,Current Rating,Hight,Tonnage,Name,Power Cord Length,Product Power,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Heat rating (BTU/hour),Amperage (amps),Voltage (volts),Product Weight (lb),Bundle Listing,Package Contents,Voltage:,Power ：,Product color:,Power supply:,Packing:,Product Lot Quantity,Compatible Model,Manufacturer,PackQty,Motor power,Power supply,Plug type,Shape material,Color box size,Product gross weight,Remarks,Origin,Room,Heating Wattage,Heating Element:,Use:,Certification,Rated voltage:,Switch type:,Rated power,plug,Types of heating appliances:,Electric Heater Type:,How to heat it:,Installation:,Protection Properties,GTIN,Max. Power (kW),Voltage Supply,Power Type,Protection,Manufacturer Part Number,ProductType,Item Weight,Heating Method,Item Dimensions LxWxH,Stock #,Control Way,Driving Mode,Temperature of Air Outlet,Tube Material,Warranty,Maximum power,Installation,Use,Model Number,Heating Element,Function,Electric Heater Type,Area Heated,Number of Speed Settings,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word,Key Word 2,Key Word 3,Key Word 4,Length,Height (In.),Width (In.),Phase,Watts,Non-Domestic Product,Ship Fullfillment,Returns,Costumer Care,Up to 32 Degrees,Heater Voltage,Portable,Easy To Carry,Easy To Clean,Secured Payment,Limited Discounted Stock,Highest Quality,Made For,40$OFF SALE,Prop65_fl,Prop65Warning,Application:,Electric Heater,Heater Plug Type:,Heater Type:,Item Type,Item model number,Is Discontinued By Manufacturer,Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,Model No.,Item Weight Major,Item name,wall heater,Control,Christmas gift,Batteries Required,Product Dimensions,item_width,item_length,Number Of Speed Settings,Voltage (v),Sku,Plug Type,Temperature Range,Timing Time,Wind Speed,Package,Quality,Positive,Ships From,Made in,payment,Heating BTU
"Room Space Heater Ceramic Portable for Indoor 13""/ 24"" 1500W/ 500W Small Plug in",24.99,31 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Forced Air/Fan,HTR,China,No,4.8,"6,7",N/A,Ceramic,A+++,N/A,Electric,Portable Heater,"Auto Shut-off, Timer",HomePlug,12 hrs,"Black , White",2022,11-20 dB,3 or Less,"Desk/Tabletop, Floor, Wall","24 in , 13 in",Variable,251-300 sq ft,1001-1500 W,2000-2999 BTU,5 Core,1 Month,"Digital, Remote Control, Switch",Copper,A+++ - D,Radiant,100%,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 22 Inch Ceramic Tower Heater 3-Speed Elite Collection Auto Eco with Remote,39.95,323 sold,"['I had gotten this one as a replacement for the same one I had that died and am so pleased it is just as great! It was hard finding this specific one, but luckily I found it for a good price on here. ', 'Just works great and I love it!', 'for a smaller Lasko it really heats up room in no time at all , love this model!', ""Haven't had a chance to use in really cold weather, but it warms our family room adequately without any noise."", 'It heats great and arrived on time', 'Nice product 👌', 'Works well and the price was right, I bought two.', 'Good product ']",,Ceramic,Lasko CT22445,,No,6 in,23 in,,Ceramic,Compliant,,Electric,Tower Heater,"Digital Display, Timer",,8 hrs,Black,,Standard,,"Floor, Desk/Tabletop",23,3,,1001-1500 W,,Lasko,,"Remote Control, Digital",Ceramic,,Forced Air/Fan,,120 V,1415865,0046013777775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500 Watt Adjustable Thermostat Milkhouse Utility Heater CZ798,35.0,355 sold,"['Great little heater with choice of fan only or with heat controlled by a thermostat.  Even has a bottom switch that turns it off if it is bumped over.  But it takes a few hours or days to get the thermostat where you want it.  I would like to see them put in a thermostat with a smaller temperature differential.', ""It's turn off when fall down. it's a good quality and safety in the house. fast delivery, good price.we love it for small room..."", 'Bought this space heater to keep my pipes in my basement from freezing &amp; it’s doing it’s job - it’s compact &amp; easy to place anywhere there is power so as I feel safe knowing it will keep my basement warm - Thanks ', 'I am using it as a heat source for my plant room when the temp drops below freezing and it is perfect. I can adjust the temp as needed.  Good buy.', 'I bought it a few weeks ago and it hasn’t been cold not to use it yet. I used it one night and it worked fine. The quality seems to be very good. I bought it because my buddy has a couple of them his snake room and he’s been very happy with his. ', 'Love this heater. I got it to heat a small back room. In Michigan it gets cold but this small heater has no problem keeping the room nice and warm.The auto-shut off works great, if you try to move it will shut off immediately and restart just as quick.', ""I purchased 💡the heater from my daughter she is 13 she's always complaining about being 🥶 . It works really well . Only problem I have it makes my extension cord too hot  🔥. But I purchased a more better extension cord so everything is fine "", 'An excellent product that was delivered in a timely manner and provides good service!', ""Heater was dented on the corners as if banged up and controls don't work but if want heat it does give heat looks more impressive then it really is advertised as a great deal."", 'It works great in my shop takes the chill out very well! This heater  does a great job!!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZ798,,,10.25 in,"7.4 in, 7.4in.",,"Plastic, Metal, Steel",,,Electric,Portable Heater,"Portable, Thermostat, Carrying Handle, Power Indicator, Indoor/Outdoor, Overheat Protection, Dial Thermostat Control, Automatic Shut-Off, Handle, Adjustable Thermostat",,,Gray,2011,,,Floor,10.5 in,3,1000 - 1249 sq ft,1500 W,5120 BTU,comfort zone,,"Dial, Switch",,,Radiant,,120 V,CZ798,075877125378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Electric 1500W Space Heater PTC Fast Heating Indoor Ceramic Oscillating,39.99,64 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,PE-HE006,United States,No,,,,Ceramic,5 Stars,,Electric,Tower Heater,"Adjustable, Thermostat, Overheat Protection, Indoor, Tip-Over, Fan, ECO, Oscillation, Timer, Auto Shut-off",Infrared,12 hrs,Black,2021,11-20 dB,,Free Standing,,3,Whole Room,1001-1500 W,,PARIS RHÔNE,2 Years,"Digital, Remote Control",ceramic,A+++ - D,Ceramic,,120 V,PE-HE006,,United State,8-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado VH10 Vortex Space Heater with Adjustable Thermostat - Black, , ,"[""We use a soapstone stove to heat the rest of our  house and use the Vornado to keep me toasty while I'm  working in my 14' x11' office/craft room: it sure packs a lot of heat in such asmall package and it's  very quiet.....best area heater I've  ever had!"", 'It heats up the room quickly.  Very quiet.  I can move it to any room that I am in.It is just what I wanted it to do.', 'Very quiet fan, and throws a reasonable amount of heat for only 1500 watt heater.', 'Takes the chill out of a room fast, you can feel the difference within minutes. Also as mentioned in reviews it is quiet. And the looks simple and modern.', 'Will have wait til winter to see how well it works', 'Have tried all styles of heaters, this is the only one that can heat up a room', 'great product', 'no heat', 'Not enough heat']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Vornado VH10,,,,9.3 in,,Plastic,,,Electric,Portable Heater,"Handle, Tip-Over Safety Switch,Thermostat,Handle, Portable, Cool-Touch Exterior, Carrying Handle, Multiple Features, Portable,Thermostat, Automatic Shut-OFF!, Heating, Tip-Over Safety Switch, Enclosed Motor, Cooling, Non Glowing Heating Element, Cool-Touch Exterior,Thermostat,Remote Control, Cool-Touch Exterior,Remote Control,Thermostat, Tip over Protection, Remote Control, Heater",Fan Heaters,,Black,2018,Multiple Noise Level,,Portable,,2,150 to 249 sq ft,1500,,Vornado,,"Dial, Switch, Touch",,,Forced Air/Fan,,120 V,EH1-0095-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko CT22445 Ceramic Tower Heater with Remote - Black  22""",39.99,20 watchers,"['I had gotten this one as a replacement for the same one I had that died and am so pleased it is just as great! It was hard finding this specific one, but luckily I found it for a good price on here. ', 'Just works great and I love it!', 'for a smaller Lasko it really heats up room in no time at all , love this model!', ""Haven't had a chance to use in really cold weather, but it warms our family room adequately without any noise."", 'It heats great and arrived on time', 'Nice product 👌', 'Works well and the price was right, I bought two.', 'Good product ']",,,Lasko CT22445,,,,,,Ceramic,,,Electric,Tower Heater,"Digital Display, Timer",,8 hrs,Black,,Standard,,"Floor, Desk/Tabletop",,3,,1001-1500 W,,Lasko,,"Remote Control, Digital",Ceramic,,Forced Air/Fan,,,,0046013777775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVOLEC SFH002A/T 2KW ENERGY SAVING WALL MOUNTED DOWNFLOW BATHROOM HEATER TIMER ,30.0,209 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Plastic,,,Electric,Fan Heater,"Overheat Protection, Power Indicator, Runback Timer",,,,,,,,,2,,,,Evolec,,,,,,,,SFH002A/T,,,,White,Bathroom / Kitchen,270mm,100mm,230mm,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Vintage Radiant Heater 660 watts Superior Electric~Super Lectric~ Model 98,39.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,servicelectric model 98,,No,,,,,,,Electric,Portable Heater,,,,,,None,,n/a,,1,,660 W,,Watts,,plug in,,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Tube Heater Mountable Greenhouse Grow Room, Tent Heating Hydroponics",24.85,44 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Steel,,,Electric,Tube heater,"Overheat Protection, Wall-Mountable",,,,,,,"Baseboard, Bulkhead, Cabinet, Desk/Tabletop, Floor, Wall, Window",,1,,,,Grow Gadgets,,Analog/Mechanical,,,Radiant,,240 V,,,,,White,Greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ707 Electric Utility Heater 750/1500 Watt,40.0, ,"['Pros:Cranks out so much heat that lower setting is good enough.Cons:* Too small.* Coating on grill began chipping off in a few days.* Heating elements have a dark area in lower quarter, suggesting a short (maybe just mine?)* Carrying handle detached first day (could have dropped to floor).', ""Probably a good size for a hobbit, or a small child's play house.  For adult human, not so much.Within a few weeks the heater began cranking up to HIGH without being told to,and lost the ability to be turned off--had to unplug.Basically a splendid little fire bomb just waiting for its chance to be left unattended for a while. "", 'pros: Showed up within a few days of ordering. Good price, brand new, compact design, decent quality and works well. I use it everyday and if it lasts 6 months I will buy another.cons: The top handle could be bigger and better (obviously not a deal breaker for me). The fan could be a little quieter.over all: A good deal.', ""Purchased this heater 14 years ago and used it every winter since then.  It is small, but BTUs are BTUs regardless of size and it heats my cabin bathroom just fine in the winter.  Mine does not have the newer tip over safety switch.  I've never had any paint chipping issues and it looks as new as it did the day I purchased it. My only complaint is that the heater, hi/lo fan selector switch is very tight to turn, but I've learned to live with it.  The cord is also long enough that I do not need an extension cords which makes portable electrical heaters even more unsafe.  Hope this helps with your decision."", ""small but put's 0ut a lot of heat and runs quietly"", ""This heater is comparable to the older Big Heat cube and the knobs are easier to adjust' I am pleased with both types of heaters because I needed a compact heater.Thi"", 'Great deal', 'Its very small and I need it to warm /dry carpet in a jeep ...', 'A OK ***********************************', 'Compact heater works as advertised. Great low price.']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,CZ707,,,,,,,,,"Electric, Fan",Portable Heater,,,,,,,,,,,,,,Comfort Zone,,,,,,,120 V,CZ707,075877070708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
