Title,Price,Sold,Reviews,Condition,Item Width,Energy Efficiency Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Year Manufactured,Material,Item Depth,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Operating Sound Rating,Power,UPC,Color,Cable Length,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,Location,ISBN,Timer Control,Power (W),Unit Type,Design,Voltage Supply,Energy Star,Package Contents,Custom Bundle,Modified Item,Style,Recommended Environment,Room,Heating Wattage,Unit Quantity,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,For Use With,Item Height,Country of Origin,Tonnage,Function,Heating Element,Installation,Number of Speed Settings,Plug Type,Size,SKU,Temperature Range,Timing Time,Use,Weight,Wind Speed,Application,Area Heated,Certification,Colors,Electric Heater Type,Width,Manufacturer,Item Weight,Smart Home Compatibility,Manufacturer Color,Heating BTU,Air Direction,Current Rating,Tube Size,Applications 1,Applications 2,Applications 3,Product Name,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Function1,Function2,Heating Method,Item Dimensions LxWxH,Heat Output,Wind Mode,Heater Size,ProductType,Prop65_fl,Prop65Warning,Heater Style,Power Type,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Number of Cool Speeds,Compressor Type,Length,Height,Heating appliance type,Operation mode,Rated voltage,Speed adjustment gear,Temperature setting,Timing function,Voltage (V),Air supply mode,Key Word,Key Word 2,Key Word 3,Key Word 4,Refrigerant,Video of unit turned on,ProductGroup,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,SHIPPING,RETURN,ITEM LOCATION,International buyers,Department,Binding,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Voltage:,Application area:,Model No.,Item model number,Product Dimensions,manufacturer_part_number,Shape,Dimension(ID*H),Power Tolerance,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Temperature,Wire Length,Function 1,Function 2,BTU Cooling Rating,Contents of the package,Power:,Gift,news,Offer,STORE,Refund,Return,Quality,Handling,Money Back,Ships from,cancel order ?,add to watchlist,orders outside USA,How to get great offer ?,Batteries Required?,Package Dimensions,Shipping Weight,item_width,item_length,Domestic Shipping,Size Type,Item name,Rated power,Power cord length,New Title,Assembled Width (in),Firebox Width (in),Assembled Height (in),Area Heated (Sq Ft),Power Connection,Mount Type,Color Family,Firebox Height (in),Included,Product Weight (lb),Assembled Depth (in),Firebox Depth (in),Heat Output (BTU/hour),Surround Material,Assembly Required,Total BTU,Heating Wire Material,Adjustable temperature,Applicable Area,Time Setting,Dimensions
Autojack 2KW Ceramic Fan Heater Space Air Warmer Electric Workshop Garage 240v,35.99,"1,819 sold","['Very good heater considering its compact size. Nice and neat and easy to use. Within fifteen minutes my garage is warm enough for the thermostat to shut down at the desired temperature. Very comfortable to work with does exactly what it says on the tin! Much more efficient than my old fan heater. Recommend it to anyone with a reasonably small cold space that wants to be comfortable. Best value in heaters for years.', ""Now , I need heaters to manage my workshop , for temperature control in my workshop for epoxy resin tables , this heater is the nuts , hot , doesn't over heat the plug or blowfuses, 8 degrees to 15 plus , I can only say this little heater punches above its weight. "", 'so far all good seems good value gives out plenty heat and also can run fan only for cold air ', 'just what was needed', 'Brilliant service and well worth the money . Haven’t stopped using it as it warms my shed up really well . Thanku ', 'Excellent sturdy quality. Efficient heater quickly warms up my double garage. ', 'Looks a well made robust little heater, time will tell!!', ""Keeps my garage nice and toasty. Great wee heater for the money can't grumble at all thanks guys "", 'Heats up quick it’s a great robust little heater ', 'excellent product']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",217 mm,Compliant,Not Applicable,Not Applicable,210 mm,A – G,Not Applicable,5060504001601,"Fan, Electric",3,EFH2KW,2000,"Ceramic, Steel",160 mm,PTC,White,AutoJack,Ceramic,6820,Portable Heater,Rotary Knob,Forced Air/Fan,240 V,EFH2KW,11 - 20 sq m,Auto Shut-off,Floor,Low Noise,1501-2000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK+DECKER Infrared Radiant Quartz 1500W Tower Heater, Indoor, Black",46.39,20 sold, ,,,,,,,,80-85%,,Electric,1,BHTI06,2019,"Steel, Ceramic, Aluminum",,Coil,,BLACK+DECKER,Steel,5000-5999 BTU,Tower Heater,"Switch, Touch, Dial",Infrared,120 V,,451-500 sq ft,,"Window, Floor",Standard,1001-1500 W,0819813016166,Black,100,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater Buddy Series Hose Assembly - 10-ft., Model# F273704",45.63,141 sold,"[""What I like about this hose: The quality seem very good.&amp; it seals great at both ends. So far I have user about 10x of the 20lb propane tanks through this hose without the (oil trapping) filter and my Mr. Heater - Flex still works as good as when it was brand new. The pilot lights instantly and the burner is ready to turn on within 5 seconds of lighting the pilot. Heater is not showing any signs of being clogged by the oils found the cheaper propane hoses. Per Mr. Heater If you're using a portable propane heater, this IS the hose to get &amp; it pays for itself with the first year. Yes it cost more but you do not need to buy the over priced and sometimes very hard to find disposable filters that Mr. heater recommends replacing every year. Since you payed good money for your heater, why not protect it from clogging by buying this good quality hose. When I bought my Mr Heater, the filters that all the other hoses require were out of stock at  Mr. Heater Lowes, Home Depot &amp; Amazon ect. and where I did find them they were between 2-4 times the normal price = ouch. With the supply chain issues (which could happen again) I didn't want to get stuck needing to use the heater but having to chance using it with a cheaper hose that can clog it with oil (if) I could not get a new filter in the years to come or having to re-use and old contaminated (saturated) filter. I think of this superior quality hose as a good insurance policy for the heater staying reliable for years to come.*What I don't like about it:Just 1 issue, On the package it says that handling it (probably the rubber? part) can expose the person to some gnarly chemicals and to wash the hands immediately after.  Maybe just wear some gloves. It would be nice if Mr. Heater could redesign this hose to have a more user friendly (less toxic) coating on the exterior."", 'Product was as described and a bit cheaper than other places had it listed for. Cant wait to take it camping with us now and run the heater all night with no worry of having to get up in the middle of the night and change little green bottles. ', 'nice sturdy construction, no leaks', ""The hose recommended by MR Heater to use with out buying a filter which I couldn't find. Good to go now Thanks"", 'Great product that works as expected . This is the hose adapter you need so you won’t have to buy a filter.', 'Great product at great price ', 'Just right!', 'Very happy with it.', 'just  what i needed', 'Works good.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Propane,,F273704,,Brass,,,,Mr. Heater,,,Hose Assembly,,,,F273704,,,,,,089301737044,Multicolor,10FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnydaze Portable Ceramic Electric Space Heater with Auto Shutoff - 1500W/750W,47.95,136 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",6.5in.,,,,8.5in.,,,,Electric,Variable,BAO156,,"Aluminum, Ceramic, Copper, Steel",,,,Sunnydaze Décor,,,Portable Heater,Switch,Forced Air/Fan,120 V,BAO-156,101-150 sq ft,"Auto Shut-off, Oscillation","Window, Baseboard, Floor, Wall, Desk/Tabletop, Cabinet",,1500 W,810047673156,Multicolor,150,N/A,China,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton 35000 BTU Portable Heater,99.99, , ,,,,,,,,,,,,,,,,,,Dayton,,,Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyco Tubular Heaters 45W, 80W, 135W, 180W, Clips, Guards, Plug-in Thermostat ",6.5,266 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,1,,,Steel,,,White,Hyco,,,Tubular Heater,Plug In,Immediate Area,240 V,Sahara,,,"Floor, Wall",,,,,,,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Silver Ceramic Heater with Adjustable Thermostat - 754200,48.5,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,1,Does not apply,Battery,1,Does not apply,,Aluminum,,Coil,,Does not apply,Brass,Less Than 2000 BTU,Baseboard Heater,Analog/Mechanical,Boiler,12 V,AEG WKL 1003 S,100 sq ft or Less,Auto Shut-off,Baseboard,,Less Than 10 W,Does not apply,White,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado VH200 1500W Electric Whole Room Heater,50.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,"Fan, Electric",2,,2018,,,Coil,,Vornado,,,Portable Heater,"Dial, Rotary Knob, Switch, Touch, Analog/Mechanical",Forced Air/Fan,120 V,VH200,,"Auto Shut-off, Timer","Floor, Desk/Tabletop",,1001-1500 W,0043765013823,Black,72 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hylite Slimline Ecoheater 300mm, 500mm, 750mm, 1000mm, 1500mm",19.5,89 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,1,,,Steel,,,White,Hylite Slimline Ecoheaters,,,Tubular Heater,Plug In,Immediate Area,230 V,Hylite Ecoheaters,,,"Floor, Wall",,,,,,,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hylite Ecoheaters 1ft 45W, 2ft 80W, 3ft 135W, 4ft 180W, 5ft 225W, 6ft 270W ",15.1,150 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,1,,,Steel,,,White,Hylite Ecoheaters,,,Tubular Heater,Plug In,Immediate Area,240 V,Hylite Ecoheaters,,,"Floor, Wall",,,,,,,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
