Title,Price,Sold,Reviews,Condition,UPC,Brand,Control Style,Power Source,Color,Voltage,MPN,Material,Number of Heat Settings,Current Rating,Item Length,Heating Element Format,Air Direction,BTU Heating Rating,Type,Heating System,Features,Area Covered,Mounting Location,Item Width,Power,Model,Custom Bundle,Item Depth,Item Height,Manufacturer,Package,Piece Count,Item Weight,Year Manufactured,Size,Energy Star,Timer Control,Energy Efficiency Ratio (EER),Operating Sound Rating,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Modified Item,Non-Domestic Product,Country/Region of Manufacture,Smart Home Compatibility,Tank Capacity,Smart Home Protocol,Cable Length,Manufacturer Warranty,Maximum Room Size,Color Category,Home Decor Style,Power Type,Recommended Use,Number of Drawers,Count,PPU Quantity of Units,Seating Capacity,Count Per Pack,Assembled Product Dimensions (L x W x H),Recommended Location,Shape,Assembled Product Weight,Global Brand License,Is Electric,Mount Type,Recommended Room,Product Name,Number of Burners,Colour,Location,Manufacturer Part Number,ISBN,EAN,Binding,Returns,Thermostat,manufacturer_part_number,Heating Wattage,Heater Style,Recommended Environment,Power (W),Height,Depth,Finish,EC Range,Style,Room Coverage Area,Modification Description,Manufacturer Color,Bundle Description,Width,Item model number,Batteries Required,Heating Method,Product Dimensions,item_width,item_length,Thickness,Warranty:,Wattage,Amperage,Certifications,Maintained operational temperature,Power Cord Length,Remote Control,Warranty Description,Country of Origin,Batteries Required?,Volume,Department,Import Designation,Finish Types,Is Discontinued By Manufacturer,Number of Pieces,Item Dimensions LxWxH,Power/Fuel Type,Indoor/Outdoor,Product Weight (lb),Amperage (amps),Room Size,Product Width (in),Portable Heater Features,Cord Length (in),Area Heated (Sq Ft),Wattage (watts),Heater Type,Certifications and Listings,Product Height (in),Color Family,Portable Heater Safety Features,Heater Controls,Voltage (volts),Product Depth (in),New Title,Number of Cool Speeds,Compressor Type,Refrigerant,Product Weight (lb.),Product Depth (in.),Product Length (in.),Area Heated (Sq. Ft.),Heat rating (BTU/hour),Pack Size,Number of Elements,Bulb Type,Mount Location,Product Width (in.),Product Height (in.),Resistance Properties,Protection Properties,Batteries,Package Dimensions,Heat Output,Mounting Style,Number of Speeds,Fan Style,Blade Orientation,Time Control,Suitable For,Model No.,SKU,Vent Hose Exhaust Configuration,Tonnage,Item Weight Major,Plug type,Plug,PackQty,Brand compatible,Cod. ETCO,Mark,Use,Service,Seller,Customer service,Hydronic,package_length,Baseboard Heating Type,Shipping Exclusions,Product Length (in),Heating Product Type,Satisfaction,Heating Technology Type,Vented,Price,USA Shipping,product_height_in,heating_product_type,wattage_watts,baseboard_heating_type,voltage_volts,certifications_and_listings,product_depth_in,heat_rating_btu_hour,color_family,hydronic,amperage_amps,power_fuel_type,product_length_in,heating_technology_type,pack_size,product_width_in,vented,product_weight_lb,thermostat,heater_controls,automatic_shutoff,installation,heater_type,timer_included,anti_freeze_setting,indoor_outdoor,acli_safety_plug,number_of_heat_settings,remote_control,accessories_included,oscillation,Supply,Timer,Turbo Fan,Nett Weight,Is Dishwasher Safe,Specification met,Is Assembly Required?,Gift,Shipping,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Place Of Installation,Control Type,Bundle Listing,Length,Item Diameter,Filtration Technology,Application,Contaminants Captured,Filter Life,Humidification Method,Ventilation System,Vent Style,Output Voltage,Input Voltage,Plug Type,Voltage Conversion,MaterialType,NumberOfItems,Assembly Required,Heat Range Diameter,Mounting,Fuel Type,SHIPPING,TAX,Customer Service,Handling Time:,Questions,Theme,Price Per Unit UOM,Is Portable,Age Group,Watts,Gender,Number of Shelves,Is Powered,Multipack Quantity,Calentador De Agua Cubeta,De Inmersión Con Elemento,Calentador De Agua Cubeta-,Dimension,Watt,Is Pet Friendly
Mr. Heater MH4B Portable Propane Little Buddy Heater,,141 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",0089301734005,Mr. Heater,Switch,"Electric, Propane","Gray, Multicolor, Black",Not Electric,F273400,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LifeSmart 6-Element Infrared Heater with Front Intake Vent, HT1269, Black",89.99, ,"['heats very well, very lightweight, fan is very noisy, has a very annoying high pitch whine.', 'Works great as new but do not know for how long. Lifesmart heaters often do not last long  but are well priced. They certain reduce winter heat billing.', ""Really impressed what's the small unit heats up my room real nice"", 'Heats the room in below freezing temperatures by itself. Not too loud and has good build quality. ', 'Work well at night when wood stove gets low.  Keeps my bedroom toasty ', 'This a great heater!  Set the desired temp and fan speed and forget about it!', 'warmer than most 120 volts 1500-watt heaters that I have owned.', 'Good value, good quality, excellent product. ', 'I think it is better for small rooms. I tried it in my large family room and it didn’t do the trick', 'Have used for a week working fine so far!']",,0817223017780,Life Smart Labs,"Switch, Remote Control, Digital",,Black,,HT1013,,3,10A,13.60 in,Infrared,1-Way,5120 BTU,Portable Heater,Infrared,Timer,200 sq ft,Floor,11.40 in,1500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BroanNutone 605RP Exhaust Fan Heater Combo White Ventilation Bathroom 1300 W,89.99,30-day returns, ,,0784891344084,Broan-NuTone,Switch,Electric,White,120 V,605RP,Steel,1,,14.63 Inch,,,,Inline,,Heater,100 sq ft or Less,Ceiling,7.83 Inch,,605RP,No,5.63 Inches,9.490,Nutone,Opened manufacturer Packaging.,9,12.6,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400W EconoHome Wall Mount Space Heater Panel With Thermostat & Heat Guard Cover,87.0,Last item available, ,,766239682140,EconoHome,Analog/Mechanical,Electric,400W - 120 Sq. Ft. Room,110 V,651162310,Wood,5 or More,10.1-15 A,,Coil,3-Way,Less Than 2000 BTU,Portable Heater,Forced Air/Fan,Auto Shut-off,251-300 sq ft,Wall,,Less Than 10 W,651162310,No,,,,,,,2020,400W Deluxe Model with Heat Guard,A+++,24 hrs,3 or Less,None,Brass,Less Than 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set of 3 New Longer Life Bulbs/Heating Elements 4 EdenPURE GEN4 Infrared Heater,88.88,244 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Unbranded,,,,,Does Not Apply,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOS PELONIS Original Disc Furnace MODEL 1500 IV Electric CERAMIC HEATER NIB,89.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",750545321503,Pelonis,"Dial, Rotary Knob, Switch",Electric,Brown,120 V,N/A,Ceramic,5 or More,,,Coil,,5000-5999 BTU,Portable Heater,Furnace,Auto Shut-off,100 sq ft or Less,"Desk/Tabletop, Floor",N/A,1001-1500 W,1500 IV,No,,,,,,,,,,N/A,N/A,Standard,Copper,N/A,,,Taiwan,N/A,N/A,HomePlug,"72""",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set of 3 New Double Life Bulbs/Heating Elements 4 EdenPURE GEN4 Infrared Heater,88.88,386 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Unbranded,,,,,Does Not Apply,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Set of 3 New Longer Life Bulbs/Heating Elements 4 EdenPURE GEN4 Heaters,88.88, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Unbranded,,,Clear,,US001,,,,,,,,,,,,,,,EdenPURE GEN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerheat Infrared Quartz Electric Stove Heater Living Room Warm Temperature,86.64,44 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,ChimneyFree,Analog/Mechanical,Electric,Black,110 V,,Metal,1,,,,,5000-5999 BTU,Unit Heater,Infrared,Auto Shut-off,951-1000 sq ft,Floor,,1001-1500 W,CFI-470-12-01,,,,,,1,,,"17.5"" W x 10.1"" D x 23.0"" H",,,,Standard,,80-85%,,,,,,,,,1000 sq ft,Black,Traditional,Electric,Heating,0,1,1 Each,0,1,17.50 x 10.10 x 23.00 Inches,Living Room,Rectangular,14.92 lb,does not apply,Y,Freestanding,"Living room, family room, home office",does not apply,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Set of 3 New Double Life Bulbs/Heating Elements 4 EdenPURE GEN4 Heaters,88.88,5 watchers,"['Replaced heating element in my Gen4 heater and I really feel the difference. Heater blowing out much more heat. Glad I ordered them. Keeps room nice and comfy and now I can lower my thermostat a bit more.', 'Good quality product looks good solid and in good condition. I also installed them in my heater and all three bulbs work great as expected. I recommend this product. ', ""We have several Eden Pure heaters, but after a time they do need to be repaired. It's nice to see that I can still get the needed parts to make them operate at a great efficiently again."", 'Purchased and installed bulbs. Heater working just fine. Was easy as bulb replacement instruction was included in package.I believe is good deal. Thanks.', 'easy to install, used 3 in gen4 and 3 in a gen8. Both are working great.like new. installation took less than 15 minutes in each heater.', 'This product was the same items that were in the Gen 4 when I got it.', 'This item  just what I needed the price was great and the shipping was out standing no need to go to any other this is right place thanks a lot', 'Good quality, good service, instructions provided, they are still working a year after installing. The only drawback is they were causing radio interference on the AM band.', 'works great I need 3 more for another heater, but I wanted to make sure it was balbs not heater', 'The product was shipped in a tight fit container so it could break replace all three coils and heater work just like brand new again']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,EdenPURE,,,Clear,,US001,,,,,,,,,,,,,,,EdenPURE GEN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
