Title,Price,Sold,Reviews,Condition,Item Length,UPC,Power Source,Color,MPN,Material,Brand,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Features,Mounting Location,Smart Home Protocol,Item Width,Power,Country/Region of Manufacture,Manufacturer Warranty,Colour,Number of Heat Settings,Custom Bundle,Height,Main Colour,Manufacturer,Power Output,EAN,Smart Home Compatibility,Area Covered,Cooling Method,Heating Element Format,Item Depth,Tank Capacity,Energy Efficiency Ratio (EER),Operating Sound Rating,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Energy Star,EC Range,Ignition Type,Heater Controls,Product Weight (lb),Room Size,Heater Type,Certifications and Listings,Run time (hours),Color Family,Product Width (in),Indoor/Outdoor,Recommended Environment,Fuel rate (gallons/hour),Power/Fuel Type,Portable Heater Features,Area Heated (Sq Ft),Heating Product Type,Product Height (in),Fuel Tank Capacity (gallons),Heat rating (BTU/hour),Product Depth (in),Heating Technology Type,ISBN,Year Manufactured,Wattage (watts),Room Size (sq ft),Amperage (amps),Fuel Type,Pack Size,Voltage (volts),SHIPPING,RETURN,ITEM LOCATION,International buyers,Size,Air Direction,Cable Length,Country of Origin,Item Height,Stove Type Compatibility,Timer Control,Refrigerant,Current Rating,Tonnage,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Product Dimensions,Shipping Weight,California residents,Item model number,Heating Method,Item Dimensions LxWxH,Portable Heater Safety Features,Cord Length (in),Heat Output (BTU/hour),Item Diameter,Item Weight,Number of Speeds,Battery Size,Depth,Number of Batteries,Battery Life,Motor Type,Width,Battery Included,Bundle Description,Weight,Battery Capacity,Length,Shape,Number of Pieces,Towel Rack Length,Style,Mounting,Manufacturer Part Number,Compressor Type,SKU,Gift,Room Coverage Area,Adjustable Thermostat,Heating Style,Heating Element,Manufacturer Color,Setting Types,Location,Maximum Air Flow,Assembly Required,Room Use,Air Flow,Heating Wattage,Heater Style,Amperage,Room Size (Sq. Ft.),Product Type,Plug-In,Thermostat Included,Product Weight (lb.),Control,GTIN,Country of Manufacture,International Availability,Configuration,UPC/GTIN Code,Mor Electric Heating SKU,Heating Technology,Maximum Elevation (Ft),Thermostat,Heat Type,Ignition,Tank Capacity (Min),Indoor Safe,Oxygen Depletion Sensor (ODS),Modified Item,TAX,Handling Time:,Questions,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Total BTU,Housing Material,Cord Length (ft),Heating Area (sq ft),Assembled Width (in),Outdoor Living Product Type,Wattage,BTU,Item Package,Installation Method,Ventilation Type,Finish Type,Order Limit,Bundle Listing,Tax,Timer Included,Automatic shutoff,Oscillation,Anti-freeze setting,ACLI Safety Plug,Installation,Remote Control,Accessories Included,Dimensions - Height,Dimensions - Width,Cord Length,Heat Output,Coverage per Hour (Sq. Ft.),Installation Required,Hardwiring Required,BTU Output,Use,Price,Seller,Service,USA Shipping,Customer service,Shipping Exclusions,Hertz,Min Fuse size,CFM,Amps,Dimensions,Baseboard Heating Type,Hydronic,Product Length (in),Vented,wattage,Frame Material,eBay Durapower Store Category,Warranty Description,Material Care Instructions,Batteries Required?,Batteries,Department,Is Discontinued By Manufacturer,Package Dimensions,Included Components,Overall Height,Overall Width,Overall Depth,Start Type,Heating Element Type,Heating Coverage,Import Designation,state limitations,Special Feature,Compatible Brand,Compatible Model,PackQty,Application/Usage,Form Factor,Heating Capacity,Product Color,Product Model,Weight (Approximate),ProductGroup,ProductTypeName,Finish,Output,Sub-Type,Max. BTU output,Control Type,Mounting Type,Product Lot Quantity,item_width,Product Weight lb,Product Depth in,Voltage volts,Product Width in,package_length,item_length,Product Height in,Wattage watts,Product Length in,Heat rating BTU/hour,Design,Mount Location,Bulb Type,Number of Elements,Delivery,Product Packaging,Resistance Properties,Product Width (in.),Heater Type:,Product Depth (in.),Area Heated (Sq. Ft.),Color:,Color Family:,Material:,Product Height (in.),Number of Heat Settings:,Cord Length (in.),Electric,Model No.,Recommended Location,Assembled Product Dimensions (L x W x H),Assembled Product Weight,Power Type,Vent Hose Exhaust Configuration,Warranty,Studio,Publisher,PackageQuantity,Label,UL Listed,BTU Heating,Room Size (sq. ft.),Room Size sq ft,Collection,Accessory Type,Mount Type,Country Of Origin,Currency,Country,ListingDuration,Reflector,Burner,Flame screen,Cylinder housing,Door,Base,Table,Wheels,Gas Consumption,Ignition Method,Safety Device,NumberOfItems,Watts,Restricted States,ItemPackageQuantity,Item,Other Part Number,Product Name,Product SubType,Return,Includes,Plug Type,Heat type,Indoor safe,Hose and regulator included,BTU per hour:,Heating area (sq. ft.):,Tank capacity (min.),Runtime,Fuel type,Maximum BTUs,Assembled Depth (Inches),Compatible Tank Sizes,Maximum Heating Area (Sq. Feet),Assembled Width (Inches),Use Location,Assembled Weight (lbs.),Assembled Height (Inches),Heating Area Range (Sq. Ft.),Max Operating Hours on 40-Lb. LP Tank,manufacturer_part_number,Certifications And Listings,Style Name,Main Material,Main Pole,Fuel,Accessories,Packaging,GW/NW,Certifications,Power (W),Room,Energy Efficiency Rating,Unit Type,Heating BTU,Binding,Certification,Life spain,Surface Material,Required Tools,Overheat Shut-off,Cool-touch Housing,Maximum Wattage,Display Type,Assembled Depth (inches),Energy Saving Setting,Assembled Width (inches),Maximum Btus,Assembled Height (inches),Cord Length (inches),Portable,Ean,Contains Batteries,Category,Color Category,Fabric Content,Units Per Consumer Unit,Coverage Area,Piece Count,Gender,Recommended Room,Count,PPU Quantity of Units,Price Per Unit UOM,Home Decor Style,Contained Battery Type,Number of Burners,Age Group,Count Per Pack,Is Assembly Required,Number of Shelves,Theme,Room Size (sq Ft),Area Heated (sq Ft),Heat Rating (btu/hour),Productgroup,Isbn,Sku,Platform,GameName,Country if Origin,Made in,Phase,Height (In.),Length (In.),Standards,Agency Compliance,BtuH,Width (In.),Original/Facsimile,Author,Number of Cool Speeds,Package,Housing Finish,Amps AC,Requires,kW,Depth (In.),Hz,Manufacturers Warranty Length,Batteries Required,Is Assembly Required?,Pattern,Pile Height,Personalize,Regional Design,Personalized,Pile Type,Weave,MaterialType,Fabric Type,Model Number,Products,USA Seller,Limited time offer,Shipping exclusions,Flame Screen,Cylinder Housing,gnition Method,Connectivity,Dosage,Product,Format,Book Tittle,Language,Country of Manufacturer,UNSPSC Code
"Comfort Zone 7,500 Watt 240V Digital Fan Ceiling Mount Heater w/ Remote CZ230ER",175.0,321 sold,"[""This replaced a 40 y/o unit that worked, but not well. Having the remote control makes temperature control much easier. The high mode provides instant heat when used and the guide vanes direct the flow well. I did replace the circuit breaker as this unit has a max draw of 31.4 amps (7500 watts)on high mode, and insured the wiring and connections were proper. It's below freezing outside and this unit cycles and maintains 63-68 degrees with a 72 degree setting. The area is an insulated 900 sqft and the temperature is read on the wall furthest from the unit. Until I get a better primary heat source this is a great unit to have till then."", ""The heater is built pretty tough, which is a good thing. I also found it easy to connect, which interestingly enough was more expensive for the materials than it was for the heater. Only problem is that it doesn't heat as well as advertised. It claimed to heat an area (uninsulated) that was 30x30. my garage is 25x35 so I figured that was basically the same thing. after running for an hour or more it only brought the temp up from 45* to about 52*. I guess that if I left it running all the time it would eventually gey there, but that was not what I was hoping for. Plus, those temps were only for the emediate area around the heater, the far end of the garage was still ice cold. In any account it is a good heater for the price. especially if you already have a place wired for it."", ""Havent used it yet, but looks nice. It's smaller than I thought but as long as it heats good then I'm ok with it. I was a little disappointed that it didnt come with the plug. Luckily I have an extra one. I will have it hooked up in a couple of days. Thanks. "", ""Installed in my 2 car garage, used the correct 8ga wire and double pole breaker. On high setting, it trips the breaker. Tried a different breaker, no luck. It doesn't heat the garage as well as I anticipated, but better than having no heater at all. I like the remote, it works well. Heater is quiet. Not impressed but whatever. I may end up moving it to my basement, where I believe it may work better. "", 'After researching different heater I found this to be the best deal, but the heat sensor is on the inside witch makes it shut off sooner than it should so I located it on the outside and it now works good. I also looked on youtube to see how to hook up 220w and found it to be really easy but make sure you use 8/3 wire and a 40amp double pull breaker for safety reasons. I have a 24x30 insulated garage with 8 foot ceilings and at 32 degrees it will heat up at about 10 degrees an hour and after a while when the heat is up a little bit it seems to heat up faster so I use my kerosene heater to speed things up a little and when it gets around 68 degrees this heater can maintain very easy. now just so you know I have 4 metal cars in my garage that retain cold air for quite a while so your garage might heat up faster depending what you have in it', ""I purchased this unit to replace my old one. The unit arrived very quickly. I think it took 4 days to get to me. Packaging was very stout, no damage to the unit. I did have a friend of mine help me install it but it wasn't really hard and could have done it in a pinch. Instructions were easy to read. I have a 25x25 sq ft shop, insulated to about R4 and this heater does a nice job of warming it with outside temps around around 32F. This unit is also nice in that I have a choice of hi or lo elements used to heat.I would recommend this and install it myself if I go to a larger building."", 'Great price, great size, easy to use', ""Not happy with this heater. First of all, the thermostat is not correct, as it is located INSIDE the heater where it stays hot. Must be set much much higher for desired temp. Second, and worst of all, when the heater switches ON or OFF, it makes a extremely loud BANG. Really disappointing for the price and would return it if it wasn't hard wired in. Regret buying the warranty, as I don't plan on keeping past it's first breakdown."", 'The temperature sensor is mounted in a way that the heater cuts off way before room temperature is reached.  Believe the sensor is getting reading from the case rather than ambient temperature.  ', 'Well Made. Easy to use. Shipping was fast, with damage. Easy to install. Easy to hang. Would highly recommend it if the square footage is right and it is insulated.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",17.300,075877001627,Electric,Silver,CZ230ER,"Metal, Steel",comfort zone,25600,"Utility, Fan Heater","Remote Control, Digital",Infrared,240 V,CZ230ER,Timer,"Garage, Wall, Ceiling",Infrared,13.58 in,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH9BX Indoor Portable Propane Heater Deluxe Kit,,459 sold,"[""I have been hunting working outside and in the elements for the last 25 years. I particularly use this brand and model for most of my outdoor activities when the need for heat rises. This product is one of the best and only ones that I carried for hunting ice fishing and other activities period lightweight excellent instruction dependable and reliable on a scale of 1 to 10 I give it a 9.5. Only for the fact nothing is ever truly perfect. But if I've ever had an issue with one it was sent back one was replaced or fixed with no problems or issues I highly recommend this unit for anyone looking for a portable way to keep warm on the go outdoors in the elements."", ""I haven't actually tried it on a camping trip yet but I am confident that this will be sufficient to safely take the chill off my conversion van so I am to catch a few hours nap when traveling without running the gas engine to keep warm. It's very easy to use but be patient after installing the LP gas bottle. You will have to hold the button starer for 30-60 second to purge the fuel line of air before the gas actually starts flowing to the burner. Once purged it starts very quickly!"", 'It is a wonderful product.  It is very simple to operate and has an attractive design.  It burns very cleanly with only a faint smell of propane.  Even on the low setting, it warms a 300-ft. area very quickly.  I do not yet know how long a one-pound container of Propane will burn.   It also has a convenient carrying case that holds the heater unit and two one-pound bottles of Propane.  That makes it easy to store, and it takes up very little space. I give it five stars (out of a possible five).  We had an ice storm in Oklahoma last year that knocked out power for over a week; my little apartment was freezing.  With Mr. Heater in the closet, I feel safe and secure for the next power outage.', ""Well first of all I started out as a Coleman heater man and I didn't think no other propane heater brand could outdo the Coleman product but Mr heater portable buddy does with greater heat output. The only thing that Mr heater could improve on is a way to regulate the heat temperature. It's just low 4000 btu to high 9000 btu and that can get to hot in a small area. Other than that so far, I find it to be a very good propane heater. Won't be going back to Coleman. For one thing their heaters wear out fast."", ""i really like this heater,this is the second one i bought.. the first one is still working fine..i'm writing this review based on that one. it has worked flawlessly. i use it all the time on the boat, all winter..it's a 34 foot boat with a large cabin that i use all winter.10 mins and the chill is gone. in 30 mins we're opening coats and relaxing..a 1 lb tank lasts all night on high..have taken it camping this year.. kept us warm &amp; cozy.the downloaded pdf instruction manual says it's safe for indoor use..but there still a CO2 warning..as with any other fire producing device..haven't had any problems at all with it...although i did have to clean a spider web from the pilot light in the fall.. i took the entire thing apart jut to see how it works.. very simple to work on..and i checked on line for any replacement parts.. all of the parts are available and fairly cheap.that makes it totally fixable..the safety features work almost too well.. a bump and it shuts off.. never had the tip over safety needed, but it has been checked.new in the store for 95$.. bought it used for 65/w shipping.."", ""If you are considering to buy a portable gas heater, so it's the one you have been looking for. It's very safe, light, has posibility to connect to big tank and looks solid.It has few safety off switches: turn over, flame out and low oxygen (this one I wasn't able to find in any other device) so this means that you can use it almost anywhere. It is very light and it came with carycase with wich it is even more comfartable to have it with you. It use not that much propane compared to how much heat it gives. It has two working modes High an Low. so far I have noticed that it uses about 100 grams (3.5 ounces) per hour in High mode and I think that it might use more than twice in low mode. It gives sufient heat to heat a room of 140 feet. And if it is not enaugh for you it has it's biger version with twice more power.Though it gives a bit of odor, but it is not that much noticible.So as I said, if you are looking for portable gas heater it is the one."", ""I bought this heater to take along tent camping when I go to different hunting places throughout the state. The heater seems to be very dependable. It is easy to start and to stop. I have used other Mr. Heater brand heaters for several years and they hold up well. The size is correct for my needs and heats my space easily. The 1 pound bottle attaches easily and is removed easily. It's a great little heater. It is a bit larger than I expected, but that does not effect how I will use it."", ""The Buddy Heater is an excellent idea with some flaws. I use mine nearly every day of winter. A ceramic heater is perfect for indoor use. You don't have to worry about carbon monoxide gas, and if you crack a window, the oxygen won't deplete. I love my heater! However, the Buddy Heater is not engineered well. All gas and propane are saturated with a very stinky oil which smells like rotten eggs so you will recognize it when you smell it. The Buddy Heater's small tubing, which delivers the gas to the the pilot light and ceramic heater, will condense out this oil in cold weather. When the tube fills with oil to a certain point, oil will get to the pilot orifice tube; this tube has a special glass filled hole that meters the pilot flame. Once that clogs -no pilot flame. No pilot flame, no worky. Mr Heater will sell you another pilot and ignition set, but this does not address the oil sitting in the tube. It will clog even faster. I have tried to call them to encourage them to change the design, but they just ignore me. My solution, and it works, is to carefully take the back off, remove the pilot assembly, unscrew the pilot orifice and put a pipe cleaner through the supply line. I then take pliers and put the orifice piece over a torch flame and heat it until it is smoking; hot enough to burn out the oil. I put it back together and it will work for another 2 months, (everyday use) before it clogs again. I  tried buying their in-line filter, but it still clogs up. The oil molecules are small enough to get past the filter. So I recommend the heater, but it's a real hassle when it stops working on a cold night!"", ""Excellent for portability and heating. Easy to use and simple to clean.  The downside of portable heaters it the short heating time.. 3 hours on full... up to 8 hours on ... thrifty usage.  Let alone the high cost of propane items now.For a permanent long time use I recommend the Olympian series heaters for durability.. all metal. The buddy heaters are excellent tho with excellent components and durability.Don't drop em tho.. the thermocouple moves a bit and it'll shut off all the time if you do not know where to move it back to."", 'I already had a good experience with the Mr Heater MH9B since my dad had purchased 3 of these a few years ago for our various hunting shacks. Very pleased with the updated design making the lighting of the heater easier with the pilot ignitor built into the adjustment knob and the swivel connector for the propane tank is a nice feature. Did an excellent job heating my hunting blind and also the area in my garage where we processed our deer. Would strongly recommend this heater to anyone.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0089301734005,"Electric, Propane","Gray, Multicolor, Black",F273400,Ceramic,Mr. Heater,,,Switch,,Not Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60,000 BTU Portable Propane Forced Air Heater Overheat Auto-Shutoff Patio Blower",179.00,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",17.25,810047673125,,"Black, Red",BAO-125,Steel,Sunnydaze Decor,,,,,115,BAO-125,"Automatic Shutoff, Blower/Fan, Portable, Radiates Heat",,N/A,8.25,,China,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caldo WiFi Electric Panel Heater, Wall Mounted Splash Proof Radiator with Timer",127.0,428 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,CAL,Glass,Solaire Heating Products,,Panel Heater,Digital,Panel,230 V,Solaire Reno,Timer,Wall,,,Electric,,,White,Variable,No,470,Multi,Sol*Aire Heating Products,2000W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Aladdin Blue Flame Heater No. P150056 Made in England Untested,175.0,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,"Kerosene, Paraffin",Blue,,Steel,Aladdin,,Portable Heater,,,,P150056,,Floor,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealey LP50 Space Warmer Propane Heater 33,000 - 55,000Btu/Hr LPG Gas Blower Fan",177.38,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Propane,Red,LP55,Metal,Sealey,54500BTU/Hr,,,Infrared,230 V,,,Garage,,,16000,,,,2,,,,,,5054511232448,23cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Dyna-Glo Portable Convection Kerosene Automatic Ignition Heater WK24WH,179.98, ,"['Better to have it and not need it, than to need it and not have it. Everyone should have one of these on hand.', 'This is a very good quality unit but the shipped cost was between $40 and $50 dollars and it shipped for Home Depot.  Not a good value.', 'Very nice unit easy to use it', ""The electric igniter doesn't work and could have bought at farm and fleet for same price or cheaper. "", 'Works great goof price easy transition ', 'Can’t write more than great.👍🏻', 'Works great!', 'Works as expected, great heater !!!', 'great heater']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Kerosone,Black,,Steel,Dyna-Glo,20000-24999 BTU,Portable Heater,,Convection,Not Electric,WK95C8B,,Floor,,18 in,,,,,Variable,,,,,,,,951-1000 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbonics Kickster 3+ K3-J 2848 Under Counter Hot Water Fan Heater,179.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VINTAGE Dearborn 12,000 BTU GAS SPACE HEATER Grates",175.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",1,Does not apply,"LP PROPANE GAS, Gas, Propane",Brown,Does Not Apply,Steel,Dearborn,"12,000","16,000",,Space Heater,na,RC-16,Free Standing,Floor,,,gas,,None,,,,,,,,,,201-250 sq ft,,Strip,1,na,unknown,None,Steel,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Heater Portable Propane Space Heater Radiant Pilot 3-Heat Handle Steel Red,179.45,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",N/A,Does not apply,Propane,Red,Does not apply,Steel,Mr. Heater,11000 BTU,Portable Heater,Dial,Radiant,N/A,Does not apply,"Tip-Over Safety Switch, Handle, Automatic Shutoff",Floor,,10.24 in,N/A,,1 Year,,3,No,,,,,Does not apply,,275 sq ft,,N/A,10.24 in,N/A,N/A,N/A,Steel,N/A,Compliant,A+++ - D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
