Title,Price,Sold,Reviews,Condition,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,EAN,Brand,BTU Heating Rating,Type,Power Source,Heating System,Color,Voltage,Number of Heat Settings,Model,Features,Material,Operating Sound Rating,Heating Element,Made in,Weight,Model No.,Size,Item Height,Item Weight,Style,Product,Battery Included,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Year Manufactured,Mounting Location,Manufacturer,ISBN,SHIPPING,RETURN,ITEM LOCATION,International buyers,Item Depth,Area Covered,Power,Control Style,Phase,Restricted States,Housing Material,Indoor/Outdoor,Custom Bundle,Item,Height (In.),Height,Finish,Width,Length (In.),Mounting Type,Standards,Mounting,Agency Compliance,NumberOfItems,BtuH,Width (In.),Watts,Heating Element Format,Bundle Description,Heating Element Material,Energy Efficiency Ratio (EER),Energy Star,Tank Capacity,Annual Fuel Utilization Efficiency (AFUE),EC Range,Number of Cool Speeds,Air Direction,Package,Piece Count,Recommended Enviornment,Assembled Product Dimensions (L x W x H),Assembled Product Weight,Manufacturer Part Number,SKU,Heater Controls,Mount Location,Product Weight (lb),Room Size,Heater Type,Certifications and Listings,Color Family,Product Width (in),Product Height (in),Product Length (in),Power/Fuel Type,Portable Heater Features,Area Heated (Sq Ft),Wattage (watts),Heat rating (BTU/hour),Product Depth (in),Heating Product Type,Heating Technology Type,Bulb Type,Power Type,UPC/GTIN Code,Mor Electric Heating SKU,Heating Wattage,Timer Control,Case Size,Display Technology,Storage Capacity,Battery,Volume,Processor,Chipset/GPU Model,Scale,Stove Type Compatibility,Band Material,Country of Manufacture,Maximum Resolution,Internet Connectivity,Screen Size,Compatible Brand,Fragrance Name,Playable Media Format,Chipset Manufacturer,Form Factor,Connectivity,Gender,Mount,Wattage,Item Package,BandMaterialType,Studio,Publisher,ProductTypeName,ProductGroup,MaterialType,Label,Department,Binding,PackageQuantity,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Dosage,Format,Compatible Model,Author,Book Tittle,Language,Current Rating,Warranty,ItemPackageQuantity,Product Length in inches,Product Width,Product Height,Product Weight in pounds,Materials,"Housing
Length",Housing Width,Housing Height,"Burner 
Length",Burner Width,Burner Depth,Heat Range Diameter,Items included,Shape,Assembly Required,Product Dimensions,Shipping Weight,Item model number,Ignition Type,Connection Size,Automatic shutoff,Fuel Type,Timer Included,Fuel Gauge,Installation,Room Size (sq ft),Remote Control,Thermostat,Accessories Included,Pack Size,Annual Fuel Utilization Efficiency (AFUE) (%),Vented,Heating area,Product Weight (lb.),Area Heated (Sq. Ft.),Room Size (sq. ft.),Prop65_fl,Prop65Warning,Vent Hose Exhaust Configuration,Recommended Location,Batteries Included?,Assembled Height,Batteries Required?,Assembled Width,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Assembled Length,item_length,item_width,Colour,Memory Card(s) Supported,Maximum Magnification,Sport,Refrigerant,Smart Home Compatibility,Tonnage,Room,Set Includes,Product Type,Start Type,Heat Type,Includes,Overall Depth,Overall Width,Special Features,Control Type,Heat Output,Heating Coverage,Maximum Blower Output,Overall Height,Country of Origin,Input Voltage,Maximum Heat Power,Minimum Heat Power,Product Model,Weight (Approximate),Gas Consumption,Fuel,Reflector,Main Pole,Cylinder housing,Door,Base,Hole Diameter,Insulation Material,Max Operating Temperature,Max Power Density,Power Lead Material,Product Name,Resistance Tolerance,Supply Voltage,Thickness,Advantages,Center Distance from Hole to Side,Collocation Products,Flammability,Warranty Description,Heating Method,Item Dimensions LxWxH,Style Name,Airflow,Supply,Nett Weight,Product Width (in.),Amperage (amps),Heater Type:,Product Depth (in.),Color:,Color Family:,Material:,Product Height (in.),Number of Heat Settings:,Portable Heater Safety Features,Cord Length (in.),Voltage (volts),Suitable For,Amps,Flame Intensity Control,Minimum BTU output,Coverage Area,Automatic Shut-Off,Built-In Thermostat,Maximum BTU output,Power cord,Mantel Width,Requires Venting,On/Off Heat,Includes Firebox,Dimensions,Modified Item,Manufacturer Color,Heater Style,Main Material,Burner,Flame screen,Table,Ignition Method,Safety Device,Accessories,Packaging,GW/NW,Certifications,Package Dimensions,Barcode,Part No.,Power (W),Product Weight,Dimensions (L x W x H),Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Application,Connection Type,Pattern Name,PackQty,Assembled Height (in),Assembled Depth (in),Assembled Width (in),GTIN,Country Of Origin,CFM,Volts/Hertz,Min Fuse size,Item Location,Quantity,Shipping,Tax,Bundle Listing,Energy Efficiency Rating,Unit Type,Included Components,manufacturer_part_number,Application/Usage,Area Coverage,Input Current,Power Consumption,Timer,Number of Shelves,Number of Drawers,Seat Depth,Seating Capacity,Firmness,Number of Items in Set,Load Capacity,Batteries Required,UNSPSC Code,Number of Pieces,Flame Screen,Cylinder Housing,gnition Method
"Sunnydaze 125,000 BTU Forced Air Propane Heater - Overheat Auto-Shutoff",205.00,40 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",9,20.5,BAO-149,N/A,China,1 Year,810047673149,0810047673149,Sunnydaze Décor,125000 BTU,Portable Heater,Propane,Forced Air/Fan,Multicolor,120 V,2,MH60CRFAV,"Portable, Portable,Automatic Shutoff,Handle, Automatic Shutoff, Piezo Ignition, Variable Heat Control, Handle, Blower/Fan",Steel,Space Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part/Frame Only Energy Saver, electric SPACE HEATER, WALL MOUNT 350/700 ",200.00, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,Spain,,,,Climastar,,Part,Electric,,,110 / 120v / 50-60Hz (Regular Outlet),,Analog/CR,,Aluminum,,Stone,Spain,20 LBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ Patio Heaters Outdoor Patio Heater in Hammered Bronze,203.12, ,"['The heater was quick to put together. Be careful when assembling the heat shield, it has sharp edges. After I assembled it, I attached an extra propane tank for my gas grill. I followed the simple lighting instructions and it fired right up. The cocktail table is a nice touch, but the ice in drinks will melt quickly with the amount of heat it gives off. The finish and appearance is very nice, I also bought a heater cover to protect it against the elements when it is not is use. The only complaint is, the door hatch for the propane storage is a little wonky when closing and securing it. Overall I highly recommend it.', ""It's a little harder to start than others we have used, but is large, nice looking, and cozy to hang out by! Puts off a lot of heat...recommend, though I have found others at better prices."", ""I had promised my wife a heater on the new porch ASAP.  There was nothing affordable local.  The big box stores had zero stock and no way to order.  Then I came across AZ Patio Heaters, asking a reasonable price for a 48KBtu heater.  Shipping was extraordinarily fast.  Package came with no dents.  Assembly relatively easy - I mean, there is some dexterity involved, but it wasn't difficult.  Unit immediately fired up.We'll be using it all winter into the spring.  "", 'It came on time.  Easy to put together but the pilot won’t light. Very disappointing! I’m going to see if I can get it serviced since I’m desperate to have a gas heater for outdoor use for my business.  If I can’t get it to light, I’m returning it.', ""I purchased it couple of years ago, but after couple of time using it, the heater wouldn't turn on!!! I only used it twice the first year, and it still looks nice but it doesn't work. I didn't realized that I had purchased the 3 year insurance online for it, so when I realized that I have insurance, I filed a claim to get it serviced or replaced, but insurance company was not very helpful, and asked to have it repaired at a certified repair shop, which I didn't find one in OC county, and the other option was to give 50% of the cost!! I rather they would sent a repairman to fix it or replace it!!"", 'This was easy to set up and works great! We had one minor issue and that was the latch for the door. It didn’t come with the bolts for that but no problem a couple small nuts and bolts from my garage and it is awesome!', 'The Items are both working fine so far. My only issue is, one of the items was considerably damaged as you can see in the pictures.', 'Incredible bargain, and very well made. Hot! Hot! Hot1 The assembly is a bit challenging, but worth the effort.', 'As described, very well made, nice looking!', 'Great price.  Works as advertised.  would recommend']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",13.2,13.2,"HLDS01CGT, HLDS01-CGT",,,,872313012144,0872313012144,PRIMEGLO,,Space Heater,Propane,,"Silver, Brown",,1,HLDS01-CG,,Steel,,,,,HLDS01-CG,Regular,34.3,112.4,Modern/Contemporary,Patio Heaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton 3Ug57 Electric Wall-Mount Heater, Recessed Or Surface, 208/240V (r6)",200.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",18.200,,3UG57,,,,190735294048,,Dayton,,Heating Equipment > Heaters & Furnaces > Electric Heaters & Acces,Electric,,White,240 V,1,Dayton 3UG57,"Recessed Electric Wall-Mount Heater, Light Commercial/Residential",Steel,,,,20.8,,,,,,,No,N/A,18.200,N/A,N/A,N/A,22.400,N/A,N/A,2018,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fahrenheat Fbe15002 Portable Heaters, White",200.91, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Does Not Apply,,,,705353532276,07445054016097,Unknown,,Does not apply,,,Does Not Apply,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,Fahrenheat,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000w Industrial Indoor 240v Electrical Garage Heater Hardwire Space Heater ,204.33,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Does not apply,,,,810058280817,Does not apply,Hexago,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,0810058280817,Fast free shipping,30 Days Money Back,USA,Taxes&Duties - buyer's responsibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stiebel Eltron 231544 CNS 150-2 E Wall-Mounted Convection Heater 1500W 240V 2...,200.45, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Does not apply,,,,949223725676,Does not apply,Stiebel Eltron,,,,,white,,,Does not apply,,,,,,,,1500 Watt,,,,,,,,,,,,,,,,,0785577854774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600W 240V White Electric Recessed Wall Mount Heater Home Medium Room Warmer,204.89, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",4 in,7 3/8 in,Does not Apply,,,,Does not Apply,Does not Apply,Does not Apply,,Wall Heater,Electric,,White,120/240,,,,,,,,,,,,,,,,,,,,,,,,,Wall,,,,,,,14 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24"" Black Brick Electric Infrared Quartz Stove Space Heater w/ Remote Control",201.66, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,NA,,,,NA,,ChimneyFree,5000-5999 BTU,Tower Heater,Electric,Infrared,Black,120,Variable,YES101023,"Adjustable digital thermostat, Durable, viewing windows",Metal,,,,,,,,,,,,,,,,,,,,,"Baseboard, Floor",,,,,,,,951-1000 sq ft,1001-1500 W,Remote Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel Heater Radiator Vintage Antic Soviet Union,200.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Unbranded,,Portable Oil Filled Radiator,Electric,Panel,Silver,220 V,,,,Steel,,,,,,,,,,,,,,,,,,,,,Baseboard,,,,,,,,,,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
