Title,Price,Sold,Reviews,Condition,Model,Colour,Material,Power Source,Type,Features,MPN,Mounting Location,Number of Heat Settings,Power,Brand,Control Style,Heating Technology,Power (W),Heating System,Voltage,UPC,Heating Element Format,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Cable Length,Energy Efficiency Ratio (EER),Operating Sound Rating,Item Length,BTU Heating Rating,Manufacturer Warranty,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Area Covered,Color,Location,ISBN,Energy Star,Manufacturer,Manufacturer Part Number,Package Contents,Year Manufactured,Air Direction,Room,Smart Home Protocol,Level of noise,Supply supply,Depth,Area,Finish,Levels of power,Power maximum,Source of supply,Background,Capacity cooling,No. programs,Height,Timer Control,Style,Heater Style,Unit Quantity,Design,Actual Color,Power Type,Recommended Location,Non-Domestic Product,Smart Home Compatibility,Dimensions,OE/OEM Part Number,Universal Fitment,Performance Part,Placement on Vehicle,Weight,Size,Power supply,Product Name,Temperature,Application,Cover material,Lead wire,Perfermance 1,Perfermance 2,Number of Cool Speeds,Current Rating,Compressor Type,Use,Certification,Electric Heater Type,Heating Element,Installation,Origin,Heating Wire Material,Time Setting,Applicable Area,PLUG,ProductType,Prop65_fl,Item Height,Item Weight,Prop65Warning,Heating Wattage,Manufacturer Color,GTIN,The size of a single outer box,Uses,Country of Origin,Country Of Origin,Ceramic L Block 2 Wire,Unit Type,Refrigerant,Product Type,Product size,Operation Method,Bundle Listing,Technology,Wind Type,Usage,Controlling Mode,Fan Speed,Rotation Way,Air Supply Mode,Tonnage,MYNICODE,Recommended Environment,Temperature Tolerance,Wire Length,Applications 2,Applications 3,Function 1,Function 2,Connectivity,Shipping Weight,Dimension(L*W*H),Insulation,Item model number,Part Number,Batteries Required?,Item Package Quantity,Product Dimensions,Warranty Description,Batteries Included?,Number Of Pieces,Is Discontinued By Manufacturer,Included Components,Region Code,Modified Item,Assembled Product Weight,manufacturer_part_number,Assembled Product Dimensions (L x W x H),Cosmetic Condition,Package Condition,Functionality Check I,Functionality Check II,Product Size,Plug Type,Programmable Timer,Air Volume,Idle Speed of Fan,Frequency,Heater Type,Advantage,Range,Normal temperature resistance,Shipping,Tracking,Handling time,Customer Service,Wattage,Model Number,Number Of Speed Settings,Area Heated,Voltage (v),Function,Item Name,Heater,Plugs,Control,Suitable For,Winter Hand Warmer,Air Blower,Heater For Home,Winter Warm Items,Wall Heater,Heater Electrics,Mini Warmer,Fan Heater,Home Heater,Warm Air Mcahine,Christmas Gift,Ceramic Heating Element,TAX or VAT,Corrugation Length,Heating material,Mounting & Moving,Country of Manufacture
Vornado VH2 1500W Whole Room Vortex Electric Portable Space Heater Fan,29.99,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Vornado VH2,,Mixed Materials,"Electric, Fan",Portable Heater,Auto Shut-off,VH2,"Cabinet, Desk/Tabletop, Floor",2,1001-1500 W,Vornado,"Analog/Mechanical, Dial, Push Button, Switch",,,Forced Air/Fan,120 V,,Coil,,,11 in,14 in,,N/A,,3 or Less,11-20 dB,18 inches,4000-4999 BTU,,Steel,A - G,1,,151-200 sq ft,Beige,,,1 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Wave Desktop Portable Heater Fan Model PTC-1607,29.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",PTC-0501,,Plastic,Fan,Portable Heater,NA,Na,Desk/Tabletop,Variable,1001-1500 W,Heatwave,Dial,,,Radiant,120 V,,NA,,,NA,NA,,NA,,NA,None,NA,4000-4999 BTU,,Brass,A+++ - D,NA,,551-600 sq ft,White,,,1 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mainstays 1500W Watt Mechanical Oil Filled Electric Radiator White Heater,29.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",AEG WKL 1003 S,,Steel,Electric,Portable Oil Filled Radiator,N/A,WSH07O2AWW,Floor,3,1001-1500 W,Mainstays,Analog/Mechanical,,,Radiant,120 V,8.10005E+11,,,,N/A,14 in,,1 gal or Less (5 L),,3 or Less,None,N/A,Less Than 2000 BTU,,Steel,,Less Than 80%,,100 sq ft or Less,White,,,10 Stars,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Heater Electric Home Heaters Mini 220V 400W Room Air Wall Heating Warmer,29.99,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Ceramic,"Electric, Fan",Portable Heater,,,Wall,,401-500 W,Unbranded,"Digital, Switch",,,PTC ceramic heating element,220 V,,,,,,,,,,,None,,,,,,,,,Black,,,2 Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater 1500w Garage Forced Air Fan Portable Utility Home DQ1709,, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",DQ1709,,na,"Electric, Fan",Portable Heater,na,Does Not Apply,Floor,na,1001-1500 W,OmniHeat,na,,,Forced Air/Fan,120 V,8.19079E+11,na,,,na,na,,na,,na,na,na,na,,na,A+++ - D,na,,101-150 sq ft,Black,,,3 Stars,,,Complete - Includes All Pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,Slight Wear,Works As Expected,Item Powers On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Fan Heater Mini 220V Air Wall Handy Heater Ceramic Heating Warmer Fan,26.25, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",PS 12,,Ceramic,"Electric, Fan",Portable Heater,Timer,Does Not Apply,Wall,3,400 W,Unbranded,"Digital, Switch",,,Forced Air/Fan,220 V,Does Not Apply,Coil,,,8.5 cm,10 cm,,Does Not Apply,,3 or Less,None,8.5 cm,Less Than 2000 BTU,,PTC Ceramic,A+++ - G,Less Than 80%,,201-250 sq ft,Black,,,5 Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmazonBasics 1500W Ceramic Personal Heater with Adjustable Thermostat,, , ,,AmazonBasics B07V6M4MSN,,Ceramic,Electric,Portable Heater,"Tip-Over Switch, OverHeat Protection, Auto Shut-off",B07V6M4MSN,"Desk/Tabletop, Floor",3,1001-1500 W,AmazonBasics,Rotary Knob,,,Forced Air/Fan,120 V,Does Not Apply,Unknown,,,11,7,,NA,,Unknown,Unknown,8,Unknown,,Unknown,A+++ - G,Unknown,,100 sq ft or Less,Black,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmazonBasics 1500W Oscillating Ceramic Personal Heater W/ Adjustable Thermostat,, , ,,AmazonBasics B07V6M4MSN,,Ceramic,Electric,Portable Heater,"Tip-Over Switch, OverHeat Protection, Auto Shut-off",B07V6M4MSN,"Desk/Tabletop, Floor",3,1001-1500 W,AmazonBasics,Rotary Knob,,,Forced Air/Fan,120 V,Does Not Apply,Unknown,,,11,7,,NA,,Unknown,Unknown,8,Unknown,,Unknown,A+++ - G,Unknown,,100 sq ft or Less,Black,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell Heat Bud Ceramic Personal Heater-Green HCE100G Desktop Small 8” x 5”,29.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Heat Bud,,Ceramic,Electric,Portable Heater,"Automatic Shut-Off, Cool-Touch Exterior",Does Not Apply,Na,2,Na,Honeywell,Switch,,,Forced Air/Fan,120 V,Does not apply,Coil,,,5 in,5 in,,Na,,Na,Standard,8 In,Na,,Steel,A++ - G,Na,,Na,Green,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater DC Fan Thermostatic Egg Incubator PTC Fan Heating Element Electric Supply,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",2148810793,,Plastic,"Electric, Fan",Portable Heater,as shown,2148810814,Desk/Tabletop,1,<800W,Unbranded,Touch,,,as shown,as shown,,Strip,China,,as shown,as shown,,as shown,,as shown,,as shown,as shown,,Steel,A+++ - G,as shown,,as shown,Black,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bathroom, Bedroom, Garden, Living room",NONE,Fan Heater,PTC,"Portable, Freestanding",CN(Origin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🔥New Pelonis 1500W 3-Speed Electric Fan-Forced Space Heater, PSH08F1ABB, Black",29.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",AEG WKL 1003 S,,Aluminum,"Electric, Fan",Baseboard Heater,Auto Shut-off,Does not apply,Baseboard,4,Less Than 10 W,Pelonis,Switch,,,Boiler,12 V,7.50545E+11,Coil,,,,,,,,,,,Less Than 2000 BTU,,Brass,,100%,Does not apply,100 sq ft or Less,Black,,Does not apply,A,Midea,PSH08F1ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelonis 1500W 3-Speed Electric Fan-Forced Space Heater, PSH08F1ABB, Black",,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",AEG WKL 1003 S,,Aluminum,"Electric, Fan",Baseboard Heater,Auto Shut-off,Does not apply,Baseboard,4,Less Than 10 W,Pelonis,Switch,,,Boiler,12 V,7.50545E+11,Coil,,,,,,,,,,,Less Than 2000 BTU,,Brass,,100%,Does not apply,100 sq ft or Less,Black,,Does not apply,A,Midea,PSH08F1ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Handy Heater 3 adjustable speeds and tip-over safety function  5.7""Lx5.8""Dx6.5""H",29.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",na,,Ceramic,Electric,Portable Heater,na,na,Floor,misc,201-300 W,na,Switch,,,Forced Air/Fan,120 V,7.35541E+11,na,,,na,"5.7""Lx5.8""Dx6.5""H",,1 gal or Less (5 L),,na,na,"5.7""Lx5.8""Dx6.5""H",2000-2999 BTU,,na,A+ - G,Less Than 80%,,101-150 sq ft,Black,,,A+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric 110V PTC Ceramic Air Heater Element Thermostatic Lead Wire Temperature ,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",4511375284,,Ceramic,Electric,Electric Heater Parts,"Auto Shut-off, Timer",4511375303,"Desk/Tabletop, Window",1,300W,Unbranded,Digital,,,Forced Air/Fan,110 V,3.54483E+11,Strip,China,No,6 in,See picture,,1 gal or Less (5 L),See picture,None,None,See picture,Less Than 2000 BTU,Other: See Item Description,PTC Thermistor,A+++ - D,None,,None,Multicolor,,,A+,,,,2021,,,Clear Connect,,,,,,,,,,,,,None,,,,,,,,,Amazon Alexa,,,,,,,,,,,,,,,,,Less Than 5 A,,,,,,,,,,,,,,,,,,,,,,,,,,R-11,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
