Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Type 1,Air Direction,Time Control,Style,Room Coverage Area,Noise Level,Modified Item,Modification Description,Height,Bundle Description,Manufacturer Color,Width,Cable Length,EAN,Colour,Location,Marke,Herstellernummer,Model Number,Category,Size,ISBN,Refrigerant,Current Rating,Item Height,Country of Origin,Binding,Returns,Package Contents,Normal temperature resistance,Energy Efficiency Rating,Heat Output,Heating Method,Manufacturer,Package,Piece Count,Item Weight,Weight,Depth,Tonnage,Recommended Environment,Finish,Heating Technology,Design,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,NumberOfItems,Outside Height,Outside Width,For Use With,Mounting Type,Heater Style,Temperature Range,Plug Type,Power Type,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,manufacturer_part_number,Item Dimensions LxWxH,PackQty,Number of Cool Speeds,Compressor Type,Volts,Item model number,Warranty Description,Assembly Required,Product Dimensions,Material Care Instructions,Batteries Required?,Number of Pieces,Included Components,Heating Wattage,Hight,Bundle Listing,Item Condition,Power (W),Shape,Application,Dimension(ID*H),Power Tolerance,Product Name,Expiration Date,ItemWeight,PackageHeight,PackageLength,PackageWeight,PackageWidth,PartNumber,Heating Element Type,Prop65_fl,Prop65Warning,Safety Features,Restricted States,Item,Includes,Length,Hz,Phase,Cord Length,Amps AC,Manufacturers Warranty Length,Watts,Number of Batteries,NEMA Plug Configuration,Heater Type,Battery Size,Air Temp. Rise,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,kW,BtuH Output,Voltage Range,Label,ProductGroup,ProductTypeName,Publisher,Studio,CFM,Collection,Heater Controls,Product Width (in),Indoor/Outdoor,Product Height (in),Cord Length (in),Product Depth (in),Amperage (amps),Heating Technology Type,Product Weight (lb),PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wire Material,Time Setting,Dimensions,Adjustable temperature,Applicable Area,BTU Cooling Rating,PackageQuantity,SKU,Returnable,Power/Fuel Type,Room Size,Heating Product Type,Area Heated (Sq. Ft.),Wattage (watts),Voltage (volts),sku,Area Heated (Sq Ft),Color Family,Certifications and Listings,Portable Heater Safety Features,Portable Heater Features,Model No.,Number of Bulbs,UL Listed,Rated power
"Room Space Heater Ceramic Portable for Indoor 13""/ 24"" 1500W/ 500W Small Plug in",24.99,31 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Forced Air/Fan,HTR,China,No,4.8,"6,7",N/A,Ceramic,A+++,N/A,Electric,Portable Heater,"Auto Shut-off, Timer",HomePlug,12 hrs,"Black , White",2022,11-20 dB,3 or Less,"Desk/Tabletop, Floor, Wall","24 in , 13 in",Variable,251-300 sq ft,1001-1500 W,2000-2999 BTU,5 Core,1 Month,"Digital, Remote Control, Switch",Copper,A+++ - D,Radiant,100%,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Electric Portable Infrared 4 Element Quartz Space Heater Remote Black 2020,55.99,46 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,Black,,,,,,,,,5118,ZOKOP,,Remote Control,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zokop 22"" Infrared Electric Fireplace Space Heater 1500W Knob Control",58.95,25 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,Infrared,,Black,,,,,,,,,5118,ZOKOP,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/24V/110V/220V 2PCS PTC Heating Element Air Heating Sensor Hair Dryer Heater,22.07,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,1,,,,,,Ceramics,,,,PTC thermistor,,,,,,,,,,,,,,Unbranded,,,,,,,12 V,Does not apply,,PTC thermistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater 3,800 BTU Little Buddy Portable Radiant Propane Heater",55.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,United States,No,,14 in,,Aluminum,A+++,1 gal or Less (5 L),Propane,Portable Heater,,Infrared,,Red,2018,Standard,3 or Less,Floor,,1,100 sq ft or Less,Less Than 10 W,,Mr. Heater,3 Months,Analog/Mechanical,,,Radiant,Less Than 80%,Not Electric,,089301002135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis Disc Furnace Portable Space Heater Honeycomb Ceramic 1500w-II,59.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Ceramic,Portable Space Heater Honeycomb Ceramic,,,"5""","6""",,"Ceramic, Steel",,,Electric,Portable Heater,,,,Brown,,None,,"Baseboard, Desk/Tabletop, Floor, Window","7""",Variable,551-600 sq ft,1001-1500 W,Less Than 2000 BTU,Pelonis,,"Analog/Mechanical, Rotary Knob",Ceramic,,Furnace,,120 V,P-861-TC/VHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis HO-0279 1500W Electric Oil Filled Radiator Space Heater - Black,55.99,214 sold,"['Love this heater. Plenty of heat, easy to move around, good looking. Price cant be beat. Fast ship. Live in Maine, use it in 8 x 8 greenhouse.  Replaced old unit. Keeps  my veggie seedlings happy when its freezing  outside. The oil in heater retains heat,even when it thermostat is satisfied. Very happy with purchase. G', 'Simple to operate with just the two knobs, Easily to transport on wheels from place to place inside the residence, and heats up well for an open area of space. g', 'Mich safer than what I was using, thanks', 'Very good product', 'Liked the first one, so I purchased another. ', 'I had it for two days and it stopped working ', 'Works wonderful.', 'It is in good value.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HO-0279,,,,,,"Metal, Cast Metal",,,Electric,"Electric Portable Heater, Space Heater","Thermostat, Wheels, Heater, Auto Shut Off, Automatic Shutoff, Indoor, Handle",,,Black,,,,Floor,,3,"300 sq ft or more, Under 150 sq ft",1500 W,,Intertek,,Switch,,,Radiant,,120 V,HO-0279,0810004813496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW PP201 HA1100 Hot Surface Ignitor Desa, Master Heater,Reddy, Sears, Remington",56.4, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Master,,,,,,,,PP201  HA1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5307 Portable Electric 1500W Room Oscillating Ceramic Tower Space Heater,59.0,54 sold,"['I live in Oakland, California in the USA. The usual temperature here during winter nights goes between 35 to 40 something degrees Fahrenheit. I use it to warm up a small room (10 feet x 10 feet x 8 feet, without insulation). I usually turn it on with maximum temperature and speed for around 20 minutes. The room would be heat up to reasonably warm. Usually, I could turn the heater off for about half an hour before I need to turn it on again.', 'Great small room space heater.  Simple controls.  Quiet but not so quiet you forget and leave it on.  Only wish I knew heating watts on the low heat setting.  Have not put the thermostat into use yet...maybe try to use it/get the heater cycling at some warm bathroom temperature in the winter.', ""This unit is closely-related to the one (same brand &amp; features) I've been using these past 5+ years.  A reliable workhorse, with a bonus: It turns into a no-heat fan in the summer!!  Fits compactly under my desk."", 'This little heater has amazing power. It is small . I use it on a medium setting and it heats a very large area. No need to turn it all the way up. I’m very happy with this heater.', ""I've had many space heaters over the years, but this one is a gem: a high-quality product that works well and quickly. It's the quietest heater I've ever had. The oscillating heating tower guarantees the whole room gets warm. The tower design is sleek, and the whole unit takes up little space. This machine has heft and seems well made. Though it's about 3-times taller than it is wide, most of the weight is in the base, which makes it feel solid and not prone to tipping over easily. I'm so in love with this baby that I'm buying a second -- FOR MY 3-ROOM APARTMENT!! lolI wholeheartedly recommend this product."", ""Received this tower fan and it's very sturdy, has several settings: air, low heat and higher heat. Large enough to heat a medium sized room; only complaint is it smells a bit antiseptic."", 'I have not actually used my LASKO 5370 Ceramic/ Oscillating Heater yet. I purchased the LASKO Name. Have always had longevity with their products. I highly recommend.', ""Very appropriate for heating a small space - generates desired heat; good price and good design...would have been rated a '5 star' if it has an auto shut off when desired room temp is reached."", 'This product works well, is easy to move around to different locations, and keeps me cozy when I am chilled.  I would recommend it to others!  ', ""Almost bought the more expensive model because it came with a remote. Imagine my surprise when I opened the box and found one in here! Remote doesn't come with batteries though, so have AAAs handy.<br&gt;It's relatively quiet, heats up the room quickly, and the thermostat works pretty well. It was so good that I ordered a second one for the living room area. Looks exactly as pictured.</br<span>""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,Lasko 5307,Unknown,,,"5.95""",,"Ceramic,Plastic, Ceramic, Plastic, Plastic Housing",,,"Fan, Electric","Electric Portable Heater, Tower Heater, Air Heater","Handle, Timer, Indoor, Cool-Touch Exterior, Portable, Carrying Handle,Cool-Touch Exterior,Oscillating,Thermostat, Carrying Handle,Cool-Touch Exterior,Oscillating, Carrying Handle, Oscillating, Tip-Over Safety Switch,Oscillation,Thermostat,Timer,Handle,Nonslip BASE, Tip-Over Safety Switch, Tip-Over Safety Switch,Oscillation,Thermostat,Handle,Timer,Nonslip BASE, Thermostat,Carrying Handle,Cool-Touch Exterior,Oscillating, Oscillation, Cool-Touch Exterior,Oscillating,Thermostat, Heater, Carrying Handle,Cool-Touch Exterior,Thermostat,Oscillating, Oscillating Thermostat Handle Overheat Protection Cool Touch Housing",Ceramic,15 Minutes,"Gray, Gray,Black, Black",2019,Low,,"Portable, Wall",7 inches,3,250 to 499 sq ft,1500,,Lasko,,"Dial, Dial,Digital,Switch,Touch, Touch,Digital,Dial, Switch, Digital, Touch",,,Convection,,120 V,5307,0046013766052,,1-Way,8 Hours,Modern,1000 to 1249 sq ft,Quiet,No,No,23 in,No,Silver,16 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ285 1500W 5120 BTU Electric Portable Ceramic Utility Shop Heater,57.5,153 sold,"[""it great for floor level warming. it's small compact heater. I've only used it on low setting for the area I was trying to make warmer and got to desired temperature the unit went into standby mode. "", 'It is a good heater.Heats quickly. For those interested,It will heat a one car garage space in a fair amount of time but for large areas you should look at larger heaters. Works good for my use.', ""Heats a small room up good.. only thing I wish it had but doesn't is a tilt over shut off safety feature."", 'It works ok for small heater, not really for commercial purposes. But works ok for small area. Design well, has all the safety on it. For price I would recommend it. ', 'Bought this because it said  garage heater. Bull,  way to small and nowhere near powerful enough for a garage of any size. Not even good enough for an average bathroom heater. Overall, pretty much useless. ', 'This came quickly so the delivery was good. But it does NOT heat like the description says it does. There are different settings, yes, but even on the highest and hottest setting it barely heats the room. And its an inside room! The description says its made for basements and garages but its not! ', 'heater kept shutting off on high setting even though it was in a cold garage. worked on low setting ok . possible faulty thermostat. i have a craftsman barrel heater that is similar and it has worked fine for three years. i returned the faulty heater yesterday and am waiting for my refund.', 'looked great and priced right', 'It heats up good and I like that it has the thermostat it does the job BUTIt could have a better fan to push the heat a little better It HAS A STRONG PLASTIC SMELL that could be overwhelming for some and the handle broke when trying to adjust the angle', ""I am using it to warm a small outdoor cat house. It regulates the temperature to a safe, comfortable warmth and is very compact and sturdy. It also doesn't get hot to the touch. It turns itself off when the desired room temp is reached. Very cool!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CZ285,,,9 in,8.75 in,,"Ceramic, Steel",,,Electric,,,,,"Silver, Gray, Blue, Beige, Black",,,,,8.75 in,2,1000 Square Feet,1001-1500 W,5000-5999 BTU,comfort zone,,Switch,Ceramic,,Forced Air/Fan,,120 V,CZ285,0075877125156,,,,,,,,,,,,,60 inches,0075877125156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
