Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,UPC,Color,Air Direction,Energy Star,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Country/Region of Manufacture,Custom Bundle,Modified Item,Manufacturer Warranty,Timer Control,Smart Home Protocol,Year Manufactured,Cable Length,ISBN,Size,Smart Home Compatibility,Refrigerant,Current Rating,Tonnage,Accessories,Form Factor,Indoor or Outdoor,Wattage,Regency Use,Tip-Over Safety Switch,Shipping,Width,Room Coverage Area,Recommended Environment,Heater Style,Heating Technology,Heating Wattage,Height,Manufacturer Color,Part Type,Package Contents,Normal temperature resistance,Country of Origin,Mounting & Moving,Heating Capacity,Heater Type,Unit Quantity,Unit Type,Power Type,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Package,Model Number,Piece Count,Style,Battery Included,Length,Room Size,Indoor/Outdoor,Product Depth (in),Portable Heater Features,Wattage (watts),Color Family,Area Heated (Sq Ft),Heater Controls,Product Width (in),Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Heat Methods,Depth,Heating Product Type,Baseboard Heating Type,Heat rating (BTU/hour),Hydronic,Product Length (in),Heating Technology Type,Vented,Thermostat,Pack Size,globalTradeItemNumber (GTIN),Time Control,Room,Contents of the package,Rated power,Direction adjustment,Power cord length,Compatible Brand,Product Dimensions,Heating Method,Item Dimensions LxWxH,Compressor Type,Item model number,Warranty Description,Assembly Required,Batteries Required?,Number of Pieces,Included Components,Main material,Power input,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Fuel Type,Item,Mount Location,Number of Elements,Origin,Certification,Energy Rating,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,PackQty,Number of Cool Speeds,Country of Manufacture,Product,Compatible Model,Dosage,Book Tittle,Department,Format,Language,Connectivity,Author,Suitable for Safe Rooms,Programmable Timer,Clearance,Application,Certifications,Warranty,Bundle Description,Weight,Finish,Power (W),Heat Output,Gift,Model No.,ASIN,Binding,Studio,ReleaseDate,Publisher,ProductTypeName,ProductGroup,NumberOfItems,MaterialType,Label,PackageQuantity,Use,Cooling System,Product Name,Thickness,Hand Warming Temperature,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Use:,Feature2:,Feature7:,Application:,Feature5:,Feature:,Function 2:,Area Heated:,Button Battery:,Feature3:,Number of Speed Settings:,Feature4:,Feature 6:,Function 1:,Feature8:,Maximum Power,Pattern,Material Care Instructions
"HOMCOM Convector Radiator Heater w/ Adjustable Thermostat  Safety Cut-Off, Black",49.99,31 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HOMCOM,Electric,Heater,PTC,Free Standing,Black,"Metal, Plastic",2,switch,Mhstarukltd 820-270BK-2,220-240V,Timer,A,1300W,Coil,Steel,100%,less 63db,5200 BTU,9-15m²,23cm,UK820-270BK0342,3 or Less,23cm,74cm,Not available,A - G,45.5cm,74cm x 23cm x 45.5cm,black,Home&SpaceHeater,5056534525293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater 50,000 BTU Forced Air Kerosene heater",70.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Mr. Heater,Kerosene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fahrenheat FFC1512 1500W 120V Wall Heater - White, , , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Fahrenheat,Electric,,Forced Air/Fan,Wall,,Steel,,,Fahrenheat FFC1512,120 V,,,1001-1500 W,Coil,Steel,,Standard,,101-150 sq ft,,FFC1512,,,,,,,,,,,0685360161686,White,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil Electric Mini Ceramic Portable Personal Space Heater Wall Plug-In LOt Of3,69.98, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Soleil,Electric,Portable Heater,Forced Air/Fan,Wall,,Ceramic,1,Digital,90002050,Does not Apply,Mini,,Does not Apply,Does not Apply,Does not Apply,Does not Apply,None,Does not Apply,Does not Apply,Does not Apply,90002050,3 or Less,Does not Apply,Does not Apply,Does not Apply,A+++ - D,,,,,,815900020504,Black,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ285 Ceramic Utility Electric Space Heater 1500W with Thermostat,67.75,176 sold,"[""it great for floor level warming. it's small compact heater. I've only used it on low setting for the area I was trying to make warmer and got to desired temperature the unit went into standby mode. "", 'It is a good heater.Heats quickly. For those interested,It will heat a one car garage space in a fair amount of time but for large areas you should look at larger heaters. Works good for my use.', ""Heats a small room up good.. only thing I wish it had but doesn't is a tilt over shut off safety feature."", 'It works ok for small heater, not really for commercial purposes. But works ok for small area. Design well, has all the safety on it. For price I would recommend it. ', 'Bought this because it said  garage heater. Bull,  way to small and nowhere near powerful enough for a garage of any size. Not even good enough for an average bathroom heater. Overall, pretty much useless. ', 'This came quickly so the delivery was good. But it does NOT heat like the description says it does. There are different settings, yes, but even on the highest and hottest setting it barely heats the room. And its an inside room! The description says its made for basements and garages but its not! ', 'heater kept shutting off on high setting even though it was in a cold garage. worked on low setting ok . possible faulty thermostat. i have a craftsman barrel heater that is similar and it has worked fine for three years. i returned the faulty heater yesterday and am waiting for my refund.', 'looked great and priced right', 'It heats up good and I like that it has the thermostat it does the job BUTIt could have a better fan to push the heat a little better It HAS A STRONG PLASTIC SMELL that could be overwhelming for some and the handle broke when trying to adjust the angle', ""I am using it to warm a small outdoor cat house. It regulates the temperature to a safe, comfortable warmth and is very compact and sturdy. It also doesn't get hot to the touch. It turns itself off when the desired room temp is reached. Very cool!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",World & Main Llc,,Space Heater,,,,,,,World & Main Llc,,,,,,,,,,,9.00,,,,8.75,,,8.75,,,,,075877125156,,,,CZ285,Comfort Zone,4.66,Y,This product can expose you to chemicals including,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTABLE HOT WATER IMMERSION HEATER ELEMENT 2400W 240V SG3 SG3-ST TG3 SE3A,89.95,184 sold, ,New,SEI,,Portable Heater,,,,,,,,240 V,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTY:10 Mini High Temperature Ceramic Heater Dry-fired MCH Heater 10*10mm,68.0,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",XingHe,,,,,,,,,XH-RP1010,,,,,,,,,,,,XHRP1010,,,,,,,,,,,,,,,,,,,,China,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Inch Electric Fireplace Log Set Heater with Remote Control Led Flame,69.95,8 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Stylewell,Electric,Unit Heater,Infrared,,,,Variable,Remote Control,Barkridge,120 V,,,,,,,,4000-4999 BTU,,21 in,Sp2215-ir-phrm,,,,,,,,,,,6948958658222,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Sylvania 500W Edenpure USA1000 GEN 4 Heater Element Bulbs 3 Pack US001,69.99,258 sold,"['Replaced heating element in my Gen4 heater and I really feel the difference. Heater blowing out much more heat. Glad I ordered them. Keeps room nice and comfy and now I can lower my thermostat a bit more.', 'Good quality product looks good solid and in good condition. I also installed them in my heater and all three bulbs work great as expected. I recommend this product. ', ""We have several Eden Pure heaters, but after a time they do need to be repaired. It's nice to see that I can still get the needed parts to make them operate at a great efficiently again."", 'Purchased and installed bulbs. Heater working just fine. Was easy as bulb replacement instruction was included in package.I believe is good deal. Thanks.', 'easy to install, used 3 in gen4 and 3 in a gen8. Both are working great.like new. installation took less than 15 minutes in each heater.', 'This product was the same items that were in the Gen 4 when I got it.', 'This item  just what I needed the price was great and the shipping was out standing no need to go to any other this is right place thanks a lot', 'Good quality, good service, instructions provided, they are still working a year after installing. The only drawback is they were causing radio interference on the AM band.', 'works great I need 3 more for another heater, but I wanted to make sure it was balbs not heater', 'The product was shipped in a tight fit container so it could break replace all three coils and heater work just like brand new again']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",EdenPURE,,Infrared,,,,,,,US001,,Quartz,,,,,,,,,,US001,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Tower Heater 1500-Watt Electric Quartz Infrared Radiant,67.8,Last item available,"[""This a very cost effective space heater to warm any area during a chilly winter, or - as we had during the early part of the Wisconsin spring - a slightly nippy start to spring. It works to warm a bedroom, normal sized living room (unsure of those with an open plan large setting), or a small area of a basement that you are working in. It has three settings, and has tip-over &amp; overheat protection. I like this product an awful lot, and thus I'll give it 4.5 stars. It does NOT have a remote, but I bought a separate one for that purpose. I am taking a half of a star off because EVEN though it does have tip over protection (meaning it shuts off in that case), it is slightly more easy to tip over than I thought it was. So if you have pets, it might NOT be the BEST idea to use it when they are out playing - NOT so much for safety sake, but to prevent your fur baby from getting injured stepping on it."", 'Works very well and set up takes only a few minutes...', ""This will be my last one. The last one I bought. Lasted one heating season.then quit. Everyone I've ever bought.never makes it through 2 heating season.and I've bought several.over the years. I'm done."", 'I am very happy with this portable heater it works awesome and provides heat to my bedroom, it feels confortable now, thanks so muchGreat Product at a nice PriceTotally Recommended', ""I've bought two of these heaters .Two years in a row . I live in Florida the winters aren't that long . The first one tipped over started making a loud rattling noise .Sent it back to manufacter to repair or replace according to warranty. Never heard from them .Second heater just stopped working I don't  know why .How ever when a pinch and finances are limited .I guess it will have to do .Survivor"", 'Has operated as advertised with one exception. The thermostat doesn’t function properly. It may be a problem with this unit only, difficult to say. This is not a deal breaker for me, only do to the way it’s used. ', 'This is a smaller version and much louder than the one I have ""like"" it, however it works ok, just not as elegantly because the fan even on low is VERY loud.. (great for passive aggressive people...) or loud locations anyway...sounds like a muffled vacuum cleaner.. ', 'Solid heat..Twice the cost of what the CZ550 1500w used to be but has increased to be in just a year &amp; only lasts 1 year or more if used daily during the cold season; so will see how long this model lasts with the same use. ', 'Was used, no just open box as stated.  Works fine but has something melted on the top.', 'I like the safety features and it can fit in just about any room and look nice.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Electric,"Tower Heater, Radiant Quartz Heater",Radiant,"Under Desk, Desk/Tabletop",,"Ceramic, Plastic, Metal",2,"Rotary Knob, Switch, Touch, Analog/Mechanical",CZQTV007BK,12 V,"Nonslip Base, Portable, COMFORT ZONE CZQTV007BK 1,500-Watt Radiant Quartz Tower Heater, Thermostat, Automatic Shutoff,Nonslip Base, Heater, Oscillation, Automatic Shutoff, Indoor, Quartz, Adjustable Thermostat",,1500 W,,,,,,Large,13.50 in,CZQTV007BK,,,23.60 in,,,,,,,0075877251473,0075877251473,Black,,,,,,,,,,,Limited 1 year,15 Minutes,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
