Title,Price,Sold,Reviews,Condition,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Operating Sound Rating,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Material,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Power,Year Manufactured,Country/Region of Manufacture,Manufacturer Warranty,Energy Star,Color,Custom Bundle,Height,UPC,Timer Control,Air Direction,Cable Length,Tonnage,Smart Home Protocol,Power (W),Manufacturer Part Number,Heating Method,Heat Output,Compressive strength,Power deviation,Cable length,Manufacturer Color,Heating Technology,Current Rating,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Wattage (watts),Cord Length (ft),Color Family,Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Housing Material,Pack Size,Voltage (volts),Product Weight (lb),ISBN,Size,Room Coverage Area,Heating Wattage,Time Control,Refrigerant,Smart Home Compatibility,Room Size,Indoor/Outdoor,Portable Heater Features,Amperage (amps),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Power/Fuel Type,Heater Type,Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Number of Items in Set,Firmness,Product,Department,Mount Type,Style,Room,Assembly Status,Set Includes,Weight,Heating Technology Type,Heating Product Type,Area Heated (Sq. Ft.),Suitable for Safe Rooms,Warranty,Wattage,Application,Certifications,Clearance,Maintained Operational Temperature,Recommended Environment,Remote Control,Product Type,Number of Burners,Is Electric,Assembled Product Dimensions (L x W x H),Count Per Pack,Count,Gender,Price Per Unit UOM,Variant Attribute Names,Number of Shelves,PPU Quantity of Units,Manufacturer,Age Group,Is Portable,Recommended Room,Piece Count,Multipack Quantity,Is Assembly Required,Power Type,Product Name,Home Decor Style,Seating Capacity,Number of Drawers,Global Brand License,Theme,Watts,Depth,Baseboard Heating Type,Certifications and Listings,Hydronic,Product Length (in),Thermostat,Vented,Heat rating (BTU/hour),Thickness,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating BTU,Location,Bundle Description,Item Height,Heater Style,Original/Facsimile,Author,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Item Weight,Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Batteries Required?,Country of Origin,Item Dimensions LxWxH,Number of Pieces,Included Components,Modified Item,sku,ProductType,Prop65_fl,Prop65Warning,ProductGroup,ProductTypeName,Recommended Location,Assembled Product Weight,SKU,Form Factor,Heating Element,Maximum Heat Power,Product Model,Timer,Noise Level,Number in Pack,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Assembled Height (Inches),Color/Finish Family,Heat Type,Cord Length (Inches),Use Location,Current Rating (Amps),Assembled Depth (Inches),Cool-Touch Housing,Tip-Over Safety Switch,Safety Listing,Design,Maximum Wattage,Display Type,Lowe's Exclusive,Control Type,Oscillation,ALCI Safety Plug,Energy Saving Setting,Maximum BTUs,Overheat Shut-Off,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Assembled Width (Inches),Supplemental Heating Area,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Bundle Listing,Model No.,Accessory Type,Resistance Properties,Brand compatible,Cod. ETCO,Mark,UPC/GTIN Code,Mor Electric Heating SKU,Application/Usage,Area Coverage,Input Current,Input Voltage,Weight (Approximate),Actual Color,Feature,Origin,Patio Heaters Type,Binding,Studio,Publisher,PackageQuantity,NumberOfItems,Label,PackQty,Batteries Required,item_width,Max Weight Recommendation,item_length,Use,Price,Seller,Service,USA Shipping,Customer service,Shipping Exclusions,Number Of Heat Settings,OutOfStockControl,Width,ProductReferenceID,Length,Minimum Heat Power,Product Family,Product Line,Gift,Temperature,Heating power,Waterproof rating,PartNumber,Volume,Warranty Description,Import Designation,Finish Types,Is Discontinued By Manufacturer,Batteries,Material Care Instructions
Autojack 3KW Electrical Fan Space Heater for Trade Workshop Garage & Office 230v,59.99,577 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",250 mm,245 mm,Compliant,Not Applicable,Low Noise,Not Applicable,315 mm,A – G,Not Applicable,5060504001625,"Fan, Electric",Variable,EFH3KW,Steel,Coil,White,Autojack,Stainless Steel,10000-10999 BTU,Portable Heater,Rotary Knob,Forced Air/Fan,230 V,Autojack EFH3KW,21 - 30 sq m,Auto Shut-off,Floor,2501-3000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-In-1 Portable Desktop Humidifier Electric Ceramic Fan Space Heater Cold Hot,77.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,6.3 in,,,40-50dB,,17inch,,,,Electric,,Does not apply,"Desk/Tabletop, Floor",,,Unbranded,,,Portable Heater,Push Button,third generation PTC ceramic heating technology,110 V,1,,,"Desk/Tabletop, Floor",25W/500W,2021,China,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3In1 Desktop Humidifier Electric Ceramic Fan Space Heater Cold and Hot Portable,77.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,6.3 in,,,40-50dB,,17inch,,,,Electric,,Does not apply,"Desk/Tabletop, Floor",,,Unbranded,,,Portable Heater,Push Button,third generation PTC ceramic heating technology,110 V,1,,,"Desk/Tabletop, Floor",25W/500W,2021,China,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Wall-Mountable Infrared Patio Heater Indoor/Outdoor Vivreal PHW-1500,79.99, , ,,--,--,,--,--,--,--,A - G,--,,Electric,--,PHW-1500,Ceramic,--,,Vivreal,--,--,Portable Heater,--,Infrared,120 V,PHW-1500,--,Auto Shut-off,"Floor, Wall",--,,,,A,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Heater 240 Volt 5600 Watt Garage Workshop Portable Industrial Space Heater,75.99,130 sold,"['This does all I need for taking the chill off our two bay shop at ""Coop\'s Miata"" in Maple Valley Washington.It is quiet and efficient. The only negative thing is the short chord and the odd plug. I had to make a 20 ft extension chord with adaptation for my shop 240 service. Ended up changing the plug on the heater chord as well.  Couldn\'t find a chord female plug for this style. Worked out that I ended up using the same mail plug I use for my Tig. Word of caution: use the right gauge wire and keep it less than 25 feet.', ""I purchased this heater in 01/2013 to replace a propane bottle heater.  It is much safer than propane and the fan circulates the heat.  I have been extremely happy with this heater as it has worked great to heat my insulated garage/shop during the cold N. IL winters.  I gave it four stars due to the fact that the fan motor uses sleeve bearings and not ball so any dirt that accumulates on the blades causes vibration and wear on the bearings.  It is important to keep the fan blades clean to reduce wear and extend the life.  I suggest cleaning every season.  I just completed cleaning blades and fan bearings and the heater works like new again.  Very easy to do with just a few screws to remove cover and fan  Don't get me wrong this is a great heater for the price.  I will look into the model 966 which has a heavier duty fan when this wears out. "", ""Don't get me wrong they put out heat... But not like people brag about on them... If your in a two bay garage it will take the chill out in roughly in a hour with the door closed. Lots of 220 power used in an hr. If you put it beside you when working on a car in the open it cycles off and on the heating element a lot as if room temperature has been reached. Cold hot cold hot.... Wasn't worth adding a 220 outlet. Says industrial use only on the warning label on top, exactly what industry would have been nice to know... Because  commercial mechanic work does not qualify...."", ""I spent almost a couple hours reading and researching several heaters to help for winter work in the garage. My final decision in this unit was the power of the fan. It was much stronger BLOWER MOTOR than many others. It is built tough/rugged like (old school box style construction). I figured with the amount of electricity this draws and the fan strength, I'd get e bit more bang for the buck. I was wrong... I've seen more impressive 110 models in the past over this. Unfortunate results for the amount of electricity you pour out. It also has a horrible cool draft off one corner. How does a heater blow a cool breeze with the hot? (Maybe the blower is to strong for the heating element?) Even standing in front of this unit, It was not impressive on the heat being generated. If you don't care about electricity and need to blow a little bit of heat a distance then I would suggest this unit for you.... everyone else, I suggest researching other units."", 'When I received this heater the box was in perfect shape, no signs of damage, but when I opened it and pulled the heater out the fan was laying in the bottom not attached to the bracket inside. Pulled the cover off and screws totally missing, fan and inside of heater looked as if it had been running with the fan hitting inside of housing. Screws not inside the heater nor in the box. Got the fan straightened out and bought screws from hardware store, remounted fan and turned the heater on. It started working and seemed to be okay. The heater coil is not suppose to turn red while it is running however on day 2 the coil is starting to turn red while heating so the coil is not going to last very long before it shorts out. This was a waste of money, and a waste of time to work on it to get it running. If I had just wanted a fan I could have bought several fans from Walmart for what this cost.', ""Using on construction site.  Keeps 3 bedroom townhouses at 70 degrees.Bought 15 open box and 1 new.  Could not tell the difference.  One heater had a loose fan bracket.Tightened screws and it was good.  Another heater had a fan that rattled. Had some play on the drive shaft.  Added a washer and it was good as new.  Can't complain because they were 1/2 the price of new ones.  Wish they had a different plug.  A dryer or range end would be better."", 'This is to backup the same model in use for a couple years, they work very well. Only complaint is new one has a high pitched fan motor whine when the unit is not under a heat load with just the fan running.  ', 'An excellent buy. Good strong heat for  an old 20 x 20 wood garage with a high peak ceiling, and no insulation in very cold weather. Had to change the 30 amp 220v electrical receptacle, but that was it. Leave it on the floor, and it will do a good job.', 'Dr Infrared heater will work in a 600 foot building if it is insulated and dry walled temp 40F outdoors will stay 70-75 indoors easy I have a Gas heater , and use the Dr heater with it when it is 20 outdoors and keep it 70 indoors the Dr heat will turn on and off my gas keeps going . the last to days I left the gas go all night when I get to the Shop I turn dr heat on and turn the gas off from 7am to 5 pm the temp never got under 75 , it was 32 outdoors and got to 48 outdoors and I can turn Dr heater up or down to regulate the shop temp . Only had Dr heater 10 days . Its been a lot of help so far .', ""Good heater at a good price.  Bought this one to replace the same heater I've had for a couple of years.  Only complaint I have is that this heater does not come with a parts list for ordering replacement parts.  My previous heater had the control (rheostat?) go bad, and I couldn't find what part I needed to replace it.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",12,12in.,,,41-50 dB,,12 in,,,0837654885376,"Fan, Electric",1,DR988,Steel,Coil,,Dr. Heater,Coil,19110BTU,"Utility, Infrared",Dial,Infrared,240 V,DR988,601-650 sq ft,"Handle, Plug, Handle,Thermostat, Heater","Portable, Garage",5600W,2012,,,,Red,No,15 in,0837654885376,Solid,1-Way,6ft.,12x12x15in.,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Kotatsu Heater MHU-601E(DK) w. Controller Table AC 100V 600W Japan NEW ,79.97,8 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,MHU-601E(DK),,,,METRO Electricity,,,Kotatsu,,Halogen,100 V,MHU-601E(DK),,,Desk/Tabletop,501-600 W,,Malaysia,,,Black,,, 4948309101669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DuraHeat DH 2304 Indoor Kerosene Heater 23,000 btu w/ Box",79.0, ,"['I used kerosene heaters back in the mid 80’s. They are very efficient and with the light from it. The ambiance is cool. The nice thing is if power goes out. You have heat some light and can cook on top. I would recommend to anyone. Of course with the non president the cost of kerosene is thru the roof. But the heater is still great. ', 'Great heater very quickly heats up room , easly transportable with the handle also comes with a hand pump to transfer the kero . very well made and stable with the large base , No smell when the heater is on but a little when you switch it off. I would highly recomend this heater if you need a back up or just to boost your own heating', 'I think it was worth the money, it was easy to put together and it really did heat up my garage I had to turn it down it put out so much heat I am satisfied with the price I payed.', 'Heats a large area, No Smell, large tank with longer then stated run Time. Easy set-up , Safe !This Kero heater is an Excellent value and will pay for itself with-in the first week of cold weather. ', 'This unit operates exactly as it should. It appears to be well built and pleasant to the eye.There is a kerosene odor on start up but it is not offensive. I would buy this again and recommend you do the same.', 'Great heater. Batteries go very fast, but matches do the job! Use it in the living room. You cannot really adjust the heat, but switching off and on again works for me. Love it!', ' Easy to assemble and puts out a sufficient amount of heat that can be turned off if not needed. LUV IT!! ', ""Don't know yet, have not used it. Hopefully it will work.Need to tell customer YOU MUST ASSEMBLE PRODUCT"", 'Great Product, thanks', 'I love it very easy to use great value']",,,,,,,,,,,,Kerosene,1,DH2304S,Steel,,,DuraHeat,,20000-24999 BTU,Kerosene Heater,,Convection,,Dura Heat DH2304S,951-1000 sq ft,"Portable, Indoor",,,,,,,White,,,0013204202347,"12 hrs, 12 Hours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touch Panel Portable Convection Heater 2000w White Glass Wall Mounted Free Stand,59.99,162 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",9cm,47cm,A+,N/A,None,N/A,86cm,,,5054433731944,Electric,5 or More,HTR04,Metal,Strip,White,Laptronix,Steel,,Convection Heater,"Digital, Remote Control, Switch, Touch",Convection,240 V,HTR-04,11 - 20 sq m,"Wall-Mountable, Overheat Protection, Portable, Quartz, Remote Control, Thermostat, Timer","Floor, Wall",1501-2000 W,2018,United Kingdom,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 22 Inch Ceramic Tower Heater 3-Speed Elite Collection Auto Eco w/ Remote,, ,"['I had gotten this one as a replacement for the same one I had that died and am so pleased it is just as great! It was hard finding this specific one, but luckily I found it for a good price on here. ', 'Just works great and I love it!', 'for a smaller Lasko it really heats up room in no time at all , love this model!', ""Haven't had a chance to use in really cold weather, but it warms our family room adequately without any noise."", 'It heats great and arrived on time', 'Nice product 👌', 'Works well and the price was right, I bought two.', 'Good product ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",6 in,23 in,,,Standard,,23,,,,Electric,3,1415865,Ceramic,Ceramic,,Lasko,Ceramic,,Tower Heater,"Remote Control, Digital",Forced Air/Fan,120 V,Lasko CT22445,,"Digital Display, Timer","Floor, Desk/Tabletop",1001-1500 W,,,,Compliant,Black,,,0046013777775,8 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W PORTABLE ELECTRIC UTILITY HEATER Fan Forced SPACE Heating FAST FREE SHIP!!,80.0,Last item available,"['Keeps my sunroom warm automatic thermostat is a nice feature so I can leave it on low and don’t have to keep turning something on and off', 'This product is not good. Does not heat up very well. Knobs falling out at first use. Do not waste your money on this product. If I could return it, I would.', 'Great Value', 'Product runs quiet, had hot paint and hot oil vapor odor for about 20 minutes when first started, later same day hardly noticeable .', 'The heating coils do not function, so very little heat is available.  1500W....impossible.   ', 'still works great,love the accurate thermostat,this heater is light grey front and back and dark  grey band in middle band at handle,looks better than white and easier to keep clean.', 'works great', 'Works well.  I like that it does not get hot at the bottom  and puts out good heat.  This heats my bedroom in about 15 minutes with the door closed.  I am quite pleased. ', 'Other than it is noisy, it works great.  It warms up the room in no time.', ""Heats as well as a mouse coughing on you... and this is on MAX.Handle on the top doesn't attach to the pre-tapped holes.Total junk. Do NOT recommend.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,2,DQ1702,Steel,,,Utility,,,Portable Heater,"Dial, Switch, Touch",Forced Air/Fan,110 V,Utility DQ1702,151-200 sq ft,Thermostat,Floor,1001-1500 W,,,,,Black,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
