Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,Compressive strength,Power deviation,Cable length,Color,Location,UPC,Country/Region of Manufacture,Timer Control,Smart Home Protocol,Shape,Mounting,Modified Item,Modification Description,Item Weight,Indoor/Outdoor,Heat Range Diameter,Fuel Type,Custom Bundle,Bundle Description,Assembly Required,Size,Style,Year Manufactured,Cable Length,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,Energy Star,Room Size,Product Depth (in),Portable Heater Features,Wattage (watts),Color Family,Area Heated (Sq Ft),Heater Controls,Heater Type,Product Width (in),Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),ISBN,Refrigerant,Air Direction,Heating Method,Item Dimensions LxWxH,Smart Home Compatibility,Manufacturer Warranty,Tonnage,PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wattage,Heater Style,Recommended Environment,Time Control,Room Coverage Area,Noise Level,Manufacturer Color,Height,Width,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,Manufacturer,Product Name,Thickness,Heating Product Type,Heating Technology Type,Heat Output,Heat rating (BTU/hour),Pack Size,ITEM HEIGHT,Current Rating,Global Brand License,Home Decor Style,Is Electric,Is Pet Friendly,Theme,Price Per Unit UOM,Count Per Pack,Finish,Number of Burners,Seating Capacity,Is Portable,Number of Drawers,Recommended Room,Count,Age Group,Color Category,Recommended Use,Gender,Actual Color,PPU Quantity of Units,Number of Shelves,Piece Count,Mount Type,Multipack Quantity,Is Powered,Maximum Room Size,Heating Element Type,Cord Length,Plug Type,SKU,Country of Origin,Depth,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Timer,Weight (Approximate),Resistance Properties,Protection Properties,PackQty,Power (W),Oscillating / Non-Oscillating,Phase,Amps AC,kW,NEMA Plug Configuration,Manufacturers Warranty Length,BtuH Output,Safety Features,Hz,NumberOfItems,Watts,BTU Cooling Rating,Number of Cool Speeds,ProductType,Prop65_fl,Prop65Warning,Compressor Type,Origin,Certification,Model Number,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Heating Area (sq ft),Total BTU,Housing Material,Assembled Width (in),Outdoor Living Product Type,Gift,Shipping,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,Label,Item model number,Warranty Description,Product Dimensions,Batteries Required?,Length,Is Discontinued By Manufacturer,Heating power,Waterproof rating,manufacturer_part_number,Model No.,Product,Size Type,Bundle Listing,Heating BTU,Batteries Required,package_length,Pattern Name,Cooling Method,Restricted States,Item,Includes,Weight,For Use With,Number of Batteries,Battery Size,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,Voltage Range,Volume,Import Designation,Department,Finish Types,Number of Pieces,Included Components,item_width,item_length,Compatible Brand,Compatible Model,Connectivity,Stove Type Compatibility,Installation,Memory Card(s) Supported,Playable Media Format,Maximum Magnification,Fan,Heat Settings,Its for,Unit Quantity,Return,Bulb Type,Mount Location,Tax,Number of Elements,Product Length (in),Package,Prop 65,Overall Width,Collection,TAX,Returns,Handling Time:,Questions,ASIN,Thermostat,Baseboard Heating Type,Hydronic,Vented
HOMCOM 2720W Oil Filled Radiator Portable Space Heater W/ 3 Heat Settings,62.99,205 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HOMCOM,Electric,Oil Filled Radiator,Radiant heater,Free Standing,White,"Steel, PA",3,Knob,820-272,220-240V,Timer,A,2290-2720W,Electric heating tube,Steel,100%,less 40db,8500 BTU,9-15㎡,24cm,UK820-2720342,1,24cm,51cm,Not available,A - G,60cm,51cmx24cmx60cm,white,Home&SpaceHeater,5056534530860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicone Heating Pad Orange Heater Thermal Tool 200cm Cable 1200W Electric,82.83,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,Silicone rubber,,,Heating Pad,,,,1200W,,,,,,,,Does Not Apply,,,,,,,,,,,1500v / 5s,± 8%,200 cm,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hylite Slimline Ecoheater 300mm, 500mm, 750mm, 1000mm, 1500mm",19.5,89 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Hylite Slimline Ecoheaters,Electric,Tubular Heater,Immediate Area,"Floor, Wall",White,Steel,1,Plug In,Hylite Ecoheaters,230 V,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hylite Ecoheaters 1ft 45W, 2ft 80W, 3ft 135W, 4ft 180W, 5ft 225W, 6ft 270W ",15.1,150 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Hylite Ecoheaters,Electric,Tubular Heater,Immediate Area,"Floor, Wall",White,Steel,1,Plug In,Hylite Ecoheaters,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET OF 6 NEW OEM BULBS/HEATING ELEMENTS for EdenPURE 1000 GEN3 Infrared Heater,81.68,22 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,,,,,,,,,,,,,,,,1000GEN3,,,,,,,,,,,,,,Black,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvercrest Wall-Mounted Ceramic Heater & Fan 🌞☀️🇩🇪🇩🇪 NEW,64.49,14 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Silvercrest,Fan,fast heating,Forced Air/Fan,Wall,White,Ceramic,2,Remote Control,,,,,,,PTC heating,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W PORTABLE ELECTRIC UTILITY HEATER Fan Forced SPACE Heating FAST FREE SHIP!!,80.0,Last item available,"['Keeps my sunroom warm automatic thermostat is a nice feature so I can leave it on low and don’t have to keep turning something on and off', 'This product is not good. Does not heat up very well. Knobs falling out at first use. Do not waste your money on this product. If I could return it, I would.', 'Great Value', 'Product runs quiet, had hot paint and hot oil vapor odor for about 20 minutes when first started, later same day hardly noticeable .', 'The heating coils do not function, so very little heat is available.  1500W....impossible.   ', 'still works great,love the accurate thermostat,this heater is light grey front and back and dark  grey band in middle band at handle,looks better than white and easier to keep clean.', 'works great', 'Works well.  I like that it does not get hot at the bottom  and puts out good heat.  This heats my bedroom in about 15 minutes with the door closed.  I am quite pleased. ', 'Other than it is noisy, it works great.  It warms up the room in no time.', ""Heats as well as a mouse coughing on you... and this is on MAX.Handle on the top doesn't attach to the pre-tapped holes.Total junk. Do NOT recommend.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Utility,Electric,Portable Heater,Forced Air/Fan,Floor,,Steel,2,"Dial, Switch, Touch",Utility DQ1702,110 V,Thermostat,,1001-1500 W,,,,,,151-200 sq ft,,DQ1702,,,,,,,,,,,,,,Black,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Box Dr Infrared Heater DR-968 Portable Space Heater 1500-Watt Brown Wood,81.0, ,"[""Pros-outside of unit not hot if you touch it.it's on wheels, cycles on to adjust set temperature, has a remote, has a timer, safety switches ( temp &amp; if it tips over ). Youtube videos on how to repair unit, parts available. Looks nice, immediate heat, does not deplete oxygen like a ceramic heater, you can breath easily.Cons- 1500 watts &amp; 12.5 amps power used. Monitor it when you first use it, a weak or bad electrical receptacle can arc! Your plug or power cord could melt or burn. The risk always exists when you use it. I use to do electrician work long ago, be mindful.Read all instructions thoroughly and completely! DO NOT LEAVE UNATTENDED! I still like to use this heater, in fact I own two of them. Follow all safety warnings, it can be a good heater, don't let your guard down.....be vigilant, be safe, and stay warm. I watch TV with one keeping me warm, and happy."", ""Impressed with quality and many features like holding heat level economically, auto dual fan speeds, easy reading temperature, easy set up and great looking unit. Doesn't even look like a heater, more like a piece of furniture or a speaker for a high end stereo system."", 'I hen purchase several brands of infrared heaters .   Dr. Heater is built solid .  Purchased my last one in 2013.   Warranty is unsurpassed with 3 years .  Most heaters just won’t last .  Also puts our more heat output than a comparable EdenPure .   Good value and great  quality .', 'It is a hybrid infrared.  60% of the heat comes from a relatively new PTC heater.  40% comes from infrared.  It heats the air and objects in the room at the same time.  I have a small home of 1250 sq. ft.  I have three of these heaters at various places and have been able to shut my gas furnace down entirely.  Since they are very stingy on electricity, my monthly heating bill is now much less than it used to be!  I would recommend this heater to anyone without hesitation!', 'My Dr 968 1500 watt heater produces heat rapidly and cycles on and off to keep the temp where it is set.  This small unit has a fan that is barely audible and manages to push the heat away from the heat elements into the room and keep the area comfortable.  Lots of heat in a small package.', 'Well-built unit. Small, unobtrusive, and quiet. Easy to use with control panel or remote control, and the built-in thermostat works as it should. A nice feature is that the unit is on wheels so makes it easy to roll out of the way when cleaning and vacuuming. Takes the chill off my small place quite nicely. Great to use during those in-between seasons before or after you shut down or turn on the heating system. I am very satisfied with this product!', 'I have read a great deal of reviews from others before my first purchase. I have other brand spot heaters in my collection. Trial by error I suppose. Colorado Winters can be brutal at times. I purchased this for my mothers not well insulated home. a living room and a kitchen connected, 630 sq ft. this heater will keep it at a comfortable temp. for her. All at a low setting.Shuts off as it should to measure the heat in the room and comes back on when it needs to.It is supplemental. It will not heat a whole home.My unit arrived with a cracked frame on the top left corner. It works though, that is my main concern.Stays on five hours as i programmed and shuts off. Good Bang for the Buck. 5200 BTU is a great output for this size The fan is quiet when running. You can watch t.v. without noticing the heater on.In my opinion, if these units are used wisely, they are useful and can save a bit of money on your bill. Thumbs up on this unit.........', ""I bought this to use in a bedroom because it was advertised as quiet, and it came with a remote.  It's not that quiet- just a little quieter than your average cheapo space heater.  And the remote doesn't power the heater on or off- just lets the unit go on standby, which is kind of a drag.  The standby light is so bright i wound up covering it with a piece of paper.  Except for the remote, it's not worth the money."", 'Despite the fact that the first heater stopped working after 4 years I purchased another, Reasons: great features, heats area very well, low cost to operate, compact and easy to move around', ""Product arrived extremely quickly.  I'm using it in a sun-room to keep the temperatures steady for two parrots.  Am not able to determine if I am saving money on this product or not running it continuously versus other types of heating methods.  Product works well - happy so far.""]","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ","Dr. Heater, Dr Infrared Heater",Electric,"Infrared, Electric Portable Heater",Infrared,"Portable, Garage, Garage Cabinet, Cabinet",,Wood,13,"Touch,Digital,Switch,Remote Control, Thermostat, Switch, Remote Control, Digital, Touch, Remote Control,Touch","DR968, Dr. Infrared Heater DR-968H",110 V,"Handle, Timer, Wheels,Thermostat,Remote Control,Timer, Thermostat,Timer, Handle,Digital Display,Timer,Automatic Shutoff,Tip-Over Safety Switch,Thermostat, Cool Touch, Forced Air, Humidifier, Portable,Quiet,Dual Settings, Quartz, Portable,Cool Touch,Floor Mount,Forced Air, Automatic Shutoff,Thermostat, Remote Control, Heater, Floor Mount, Indoor, Portable, Digital Display, Wheels, Heating, Tip-Over Safety Switch, Quiet, Portable,Quartz, Dual Settings, Remote Control,Thermostat,Timer,Wheels",,1500W,,,,Low,,400 (Sq. Ft.),12 in,DR968,,,,,,,,,,,,,,"Red, Brown, Brown,Red,Black, Red,Brown,Black, Black",,0837654715666,,12 Hours,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH-F215100 3800 BTU Portable Little Buddy Propane Emergency Heat,83.99,"1,353 sold","['Even though it cost almost 1 1/2 One Pound Coleman tanks from 9pm to 5am,  it’s great. Keeps my whole RV toasty warm. I would recommend by a large propane tank to refill the 1 pound tanks. Much cheaper. But I’ve not been cold once. The safety feature of turning off it it tilts is great. Only problem I have found is the bottom piece you place on propane tank does not secure properly and falls off when lifted off the ground to move the heater. ', 'This little buddy heater is a fine unit for use in an ice fishing shelter or flip over sled / tent. It is the right size and has a small footprint.The angle of the head heating element is perfect for warming wet hands and can be easily aimed to direct the heater output.The only down side is that it can be difficult to light in even the slightest breeze.', ""This is just the right amount of heat and size  for my needs compared to the regular Mr. Heater but does not hold up to heavy use. Have had a regular size that I use in an icefishing house that has years of use on it. The little buddies I've had are lucky to make an ice season before getting had to light and the just quitting. Love the little buddies while they work but the regular Mr buddy is a much better long term value."", 'I bought this to heat my ice fishing hut and only used it a handful of times. Looks like it’s made pretty durable, the igniter works good, like the carry handle, the metal shield cools down pretty quick if you want to move spots. The negatives are the sensor for the automatic shut off is way too sensitive, if you dont have it pretty close to PERFECTLY flat it goes out which is a pain. Also there is no heat control so once it’s first lit it’s just barely staying lit, can’t have any wind blow on it or it goes out, plus once the honeycomb section is lit well finally and red it’s burning propane at such a low rate heat does not blow out of it, it only rises from it. I guess the plus to that is low propane consumption but it would be nice to be able to crank it up if you want to blow some heat at you. This is a new school version of a metal coffee can with a roll of toilet paper inside soaked in Isopropyl rubbing alcohol. ', ""These things do a good job of heating my small fish house, but it does not take long and they get hard to light and won't work Have gone through three in three ice fishing seasons.. The regular size Mr. Heater is more reliable and I should probably just stick with those but the smaller size and a bit less btu's just works better in my tiny and very well insulated fish house.Have tried the cleaning method described in the manual but it is very hard to take apart and nothing seems to help."", 'Bought 3 fir use to heat bedrooms in the house during power outages.  Just arrived and a week later a planned one day power outage.  With new born baby, needed to ensure both mom and baby would stay warm.  Used the heater and it was fine.  ', ""I have the larger Mr. Heater for our sailboat works great! So I bought this for our RTT roof top tent ..works good don't get as hot which is good for a tent ,But! the base that holds the 1lb tank should be twice the size feels like it could fall over .I plan on fabricating a larger base :)                                                                        -=CC=-"", ""Not cheap. It is tippy with the 1 lb cylinder. I asked Mr Heater for a parts list to hard pipe it directly to a 5 lb or 20 lb cylinder and I got parts list for using a hose. I don't want to use a hose. I like that it is quiet. I like that you don't need matches. I wish it had more than 1 heat output setting. It seems to be the best match available of heat output needed for my collapsible fish house."", ""I used this in my motorhome to keep the chill off at night and not have to use the furnace, which runs the batteries down significantly while boon-docking. It will run for 6 hours on one propane bottle, so it will not last all night. However, if you start it at midnight, it will run until 6 AM, at which time you can turn on your furnace for a short time if you're an early riser. Alternatively, if you don't want to run the furnace in order to save batteries, you could light the burners on your stove. Be sure to crack a window so as not to deplete all the oxygen. This unit works well."", ""Light weight. Compact.It doesn't take up allot of space. Easy to use. Does a good job heating my Ice Fishing Hub perfectly. ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,"Electric, Gas, Propane",Portable Heater,Radiant,"Baseboard, Floor, Desk/Tabletop, Cabinet",,"Ceramic, Steel",1,"Rotary Knob, Switch, Push Button, Analog/Mechanical",MH4B,,"Auto Shut-off, Timer",,,Coil,Steel,100%,Standard,3000-3999 BTU,100 sq ft or Less,7.5in.,"F215100, MH4B, F215161",,7.5in.,9in.,1 gal or Less (5 L),,10 in,,,,,,,,Red,,0089301151000,Unknown,15 Minutes,,Oval,Standing,No,No,7 lbs,Indoor & Outdoor,100 ft,Gas,No,No,No,Medium,Modern,2019,Cordless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LifeSmart 1500 W Portable Electric Infrared Quartz Tower Space Heater, Indoor",84.99,814 sold,"['Lifesmart 24"" 2 Element Infrared Electric Portable Tower Heater &amp; Fan (Used).Product tossed into box, doubt it was ever looked at or fixed. Does not work. We have bought 2 others in the past. Return my money please.', 'The unit overall lacks power. It\'ll heat about 18-24"" in front of it. Is good for basically sitting and watching TV with the unit next to you but don\'t expect this unit to Heat anything more than a 2-foot radius around you. Everything functions as it should however it just fell short on performance.', 'The extra features are spectacular', 'I love it! It works just it say does', 'It works really well and it was delivered in a really timely fashion', 'Very happy', 'Nice unit, kinda noisy ,but does the job']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Life Smart Labs,Electric,Tower Heater,Infrared,Baseboard,,Aluminum,2,"Switch, Remote Control, Touch",PCHT1053US,120 V,"Portable, Indoor, Quartz",,,Coil,Brass,Less Than 80%,None,5118 BTU,150 sq ft,7.3 in,PCHT1053US,,,5.9 in,,,,,,,,,,,Black,,0817223016790,Unknown,24 hrs,Infrared,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
