Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,UPC,Color,Timer Control,Refrigerant,Year Manufactured,Smart Home Compatibility,Air Direction,Cable Length,Current Rating,Tonnage,Smart Home Protocol,Location,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Assembled Product Weight,Manufacturer,ISBN,Country/Region of Manufacture,Power (W),Unit Type,Design,Voltage Supply,Custom Bundle,Energy Star,Manufacturer Warranty,Product Weight (lb),Baseboard Heating Type,Hydronic,Product Width (in),Product Height (in),Product Length (in),Power/Fuel Type,Thermostat,Heating Product Type,Wattage (watts),Voltage (volts),Heat rating (BTU/hour),Product Depth (in),Heating Technology Type,Vented,Certifications and Listings,Bundle Listing,Part/Accessory Type,Style,Heater Style,Area Heated (Sq Ft),Heater Controls,Room Size,Heater Type,Amperage (amps),Voice Control Hub Required,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Remote Access,Portable Heater Features,Smart Home,Requires Hub?,Works With,Power Options,Size,Heating Method,Item Dimensions LxWxH,Heat Output,Style Name,Power Type,Recommended Location,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Hanger Type,Number of Bars,Heating Wattage,Length,Width,Height,SKU,Item model number,Warranty Description,Assembly Required,Product Dimensions,Country of Origin,Batteries Required?,Item Weight,Number of Pieces,Included Components,Model No.,Wattage,Battery Size,Depth,Number of Batteries,Battery Life,Motor Type,Battery Included,Bundle Description,Weight,Battery Capacity,UL Listed,Energy Rating,SHIPPING,RETURN,ITEM LOCATION,International buyers,New Title,Prop65_fl,Prop65Warning,Manufacturer Color,Recommended Environment,Resistance Properties,ItemWidth,ItemLength,ItemHeight,item_width,item_length,Fuel Type,Room,Suitable For,Watts,Binding,Warranty,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,ProductGroup,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,frequency,state limitations,Number of Cool Speeds,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions,manufacturer_part_number,Pack Size,Fit,Quality,Tax,Heating Element Type,Cord Length,Plug Type,Heating BTU,Watt,Dimension,Item Weight Major,package_length,PartNumber,Platform,PackageHeight,PackageLength,PackageWidth,PackageWeight,ItemWeight,Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,Second eBay Category,Set Includes,Gift
HOMCOM Oil Filled Radiator Electric Heater 3 Heat Settings Remote Control Black,72.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HOMCOM,Electric,Oil Filled Radiator,Radiant,Floor,Black,"Steel, PA",3,Touch,Mhstarukltd 820-267BK-2,220-240V,Timer,A+++,1830-2180W,Coil,Steel,100%,0dB,6800BTU,25 - 30 sq m,24cm,UK820-267BK0342,3 or Less,24cm,44.5cm,Not available,A - G,64cm,44.5cmx24cmx64cm,black,Home&SpaceHeater,5056534528621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CADET 6F1500-1W Elctrc Baseboard Heater,72"" L,120V",97.54,383 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,Electric,Baseboard Heater,Convection,Wall,,Steel,1,,6F1500-1W,120 V,,,,,,,,,,,"CADET6F15001W, 5536, 05536",,,,,,,,,,0027418055361,027418055361,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr. Heater, Vent Free Wall Heater Remote Propane Tank Hook Up Kit, F273684",97.99,12 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,"Battery, Propane",Baseboard Heater,Heat Pump,"Baseboard, Floor, Wall",,Aluminum,1,"Rotary Knob, Analog/Mechanical",AEG WKL 1003 S,12 V,Auto Shut-off,,Less Than 10 W,Coil,Brass,Less Than 80%,11-20 dB,Less Than 2000 BTU,100 sq ft or Less,9.75,F273684,3 or Less,6 in,,1 gal or Less (5 L),,,,,,,0089301002555,Black,15 min,HC-12a,2000,ADT Pulse,1-Way,27 in,Less Than 5 A,20 tons or Greater,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado VHEAT Vintage Metal Heater,99.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Vornado,Electric,Portable Heater,Forced Air/Fan,Desk/Tabletop,,,,Dial,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hylite Ecoheaters 1ft 45W, 2ft 80W, 3ft 135W, 4ft 180W, 5ft 225W, 6ft 270W ",15.1,150 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Hylite Ecoheaters,Electric,Tubular Heater,Immediate Area,"Floor, Wall",White,Steel,1,Plug In,Hylite Ecoheaters,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenhouse, Kennel, Shed, Caravan, Garage, Greenhouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antique 1920s HOTPOINT Hedlite Radiant Space Heater ~ Vintage 1920s,100.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Hotpoint,Electric,Portable Heater,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGE ARVINAIR WALL HUGGER II Model WH-20 ~ NOS ~ PLUG-IN WALL HEATER & FAN,95.0, , ,,Arvinair,"Electric, Fan",Portable Heater and Fan,Motor,Wall,,"Ceramic & Heat resistant Plastic, Ceramic, Steel",Variable,"Analog/Mechanical, Rotary Knob",WH-20,120 V,Three oveheat safety devices,,1200,Coil,Steel,N/A,None,4096,Small Room,"6""",WH-20,,"3.5""","7.5""",N/A,,,,,,,047906982009,Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHU-45 Mr Heater Parts Repair Kit (FedEx 2 Day Air 15.00 Available),95.0,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,,,,,,,,,Mr. Heater MHU80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr Heater Outdoor Portable Stove 8,000 BTU Buddy FLEX Cooker Electronic Ignition",96.2,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Does not apply,,,,,,,f600500,,,,,,,,,,,,,,,,,,,,,,0313039470493,313039470493,Red,,,,,,,,,,,14.50 x 9.00 x 5.50 Inches,F600500,8.45 oz,Mr. Heater,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLonghi HMP1500 Mica Panel Space Heater,99.99, ,"[""I like this heater a lot. I bought two of them. One I've mounted on my bedroom wall. The other I left on its wheels so I can move it around the house. And it does have a very comfortable recessed carrying handle. It does give off an offensive odor at the beginning, so I recommend placing it outside, running, for 3-4 hours and that should burn off the smell. It's very, very quiet but not totally silent. I has a slight audible hum, which I thought would bother me at first, but I've easily adjusted to it. In fact, I learned to find it comforting, like white noise. I find listening to its slight hum and feeling its warming comfort actually induces me to go to sleep. It's a radiant heater, but unlike the older type radiant heaters, it doesn't cook you. It has two settings. On Minimum (800 watts), only the top one third of the heater heats up. On Max (1500 watts), the entire heater heats up. It can heat up my 10' by 10' bedroom on a very cold day (around 32 degrees) within in an hour.  The only fault that I've found with this heater is that the automatic shut off alarm can kick in too soon, before the it's completed its job, but that happens only on Max. Otherwise, once I warm up my bedroom, I can run it on Minimum all night with no disturbing alarm. I've put it on a remote controlled timer switch that can be set to shut off at intervals of 2 hours, 4 hours, 6 hours, or longer. I do this to save electricity. Just be sure the timer you buy can handle more than 1500 watts. At the same time, it's also plugged into a remote controlled thermostat (available on eBay). I set the heater's thermostat to its highest setting, and let the remote thermostat control when the heater comes on and off."", 'warms quickly, feels healthy, large surface heat area. best heater so far. thanks', ""I came to the conclusion that this heater would be a good pick for a bedroom. I ended up purchasing this DeLonghi Mica Panel Heater for the bedroom. The reason I chose this brand over other mica panels is due to my experience with their products in the past. I've owned a DeLonghi Radiator Heater which has worked just as great. If you dont know much about DeLonghi, they are a European-based company that makes quality appliances, specifically utilizing German-engineering."", 'I bought this heater to replace my oil filled radiator which stopped working. It is for a 12 foot by 12 foot bedroom. The old radiator heated the room comfortably but took a while to get up to heat. This new heater is more powerful and heats up quicker even though it is a 1500w heater just like the radiator was. Highly recommend for average sized rooms!', 'This is the best heater I’ve ever used . With it anchored to wall much safer than most .', 'if you want a quite heater that will do the job over time even in a large under insulated areas this is your heater. remember it is a convection heater and may take time to bring the room up to desired temperature but this one really puts out the heat, great quality and modern looks I like you can mount on wall and none of the exposed areas will burn you.', 'Before use you should put outdoors and put it on max so the smell will burn off.  Happened indoors and was not a good thing.  It heats very well and is very quiet.', ""Quiet.  Heats a room or my livingroom-diningroom-kitchen stretch with a heat that actually feels warm.  I have it on the lowest setting to do that.  Keep the thermostat at 60 and move the heater around to the main area of the house in the day and to the bedroom at night and don't need to heat the whole house all the time with the gas heat. Wish it had a handle on top to move it when it is warm.  Casters are plastic so we'll see how long that lasts but I am careful with my things."", 'We had a prior model and just love this one.  It took husband 5 minutes to install and puts out more heat than the original.  Thank you for sending product so quickly.', ""The price was just right and it's a great fit""]","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ","DeLonghi, Dyna-Glo, Unknown, De'Longhi","Corded Electric, 2 Levels, Electric Regular Household Current, Battery, Electric",Electric Portable Heater,Micathermic,"Under Desk, Wall, Desk/Tabletop, Floor, Wall, Desk/Tabletop",,"Aluminum, Steel, Aluminum, METAL, Plastic, Metal, Steel",2,"Dial, Rotary Knob, Switch, Rotary Knob, Switch, Dial","Free Standing Or Wall Mounted, Flat Panel Micathermic Heater, HMP 1500, DeLonghi Mica Thermic HMP1500, NA, HMP1500, PanelHeaterWallMounted0988, Does not apply, Heater","1500, 120VAC, 60Hz, 120 V",Indoor,,1500W,"NA, Coil","NA, Brass","100%, Less Than 80%",Very Quier,"5120, NA, Less Than 2000 BTU",Up to 300 Sq. Ft.,1,"DELONGHIHMP1500, HMP1500WH, HMP1500, 0988, B005MMN75G","NA, na","NA, na","NA, na","NA, na",,,,,,,0044387915007,"White, Multi-Color, White, Black, Hmp1500, Multicolor, Black/Gray, Black",24 hrs,,2016,,multi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
